Gene	logFC	P.Value	adj.P.Val
S100A8	-839.028216796686	1.38636375824155e-21	5.68409140879037e-20
S100A9	-1366.61484147336	6.39905431308688e-18	1.31180613418281e-16
PI3	-73.0892854295699	2.41015812522454e-16	3.29388277114021e-15
IL1F6	-2034.46958785296	5.51352371429227e-16	5.65136180714958e-15
FOXP3	-54.8963435493951	3.33928174439149e-08	2.28184252533419e-07
CCL2	-12.8954965449527	3.39395256002222e-06	1.98788649944159e-05
IL1RN	-62.3215077692827	1.35441343731012e-05	6.67894087746264e-05
PYCARD	-34.5988339090909	1.46610897310155e-05	6.67894087746264e-05
CTLA4	-43.3510639620658	0.000105138934035051	0.00043106962954371
IL22RA1	-9.7864733248106	0.000219000722448983	0.000748252468367357
CXCL10	-11.4611524853009	0.000686056326205157	0.0019134764271493
IFNG	-11.4611524853009	0.000686056326205157	0.0019134764271493
IFIH1	-11.4755838745977	0.00260002904590313	0.00627065828717813
AIM2	-11.8804361465984	0.00368001525290956	0.00838225696496066
IL26	-7.14419536333333	0.0239683839044929	0.0447778040887453
CASP1	-5.02970974761907	0.0154367635924252	0.0333109109099703
IL22RA2	-10.0546889121212	0.0240271143890829	0.0447778040887453
