C001	C002	C003	C004	C005	C006	C007	C008	C009	C010	C011	C012	C013	C014	C015	C017	C018	C019	C020	C021	C022	C023	C024	C025	PH001	PH002	PH003	PH004	PH005	PH006	PH007	PH008	PH010	PH011	PH013	PH014	PH016	PH017	PH018	PH019	PH020	PH021	PH022	PH023	PH024	PH025	PH026	PH027	PH028	PH029	PH030	PH031	PH032	PH033	PH034	PH035	PT001	PT002	PT003	PT004	PT005	PT006	PT007	PT008	PT010	PT011	PT012	PT013	PT015	PT016	PT017	PT019	PT020	PT021	PT022	PT023	PT024	PT025	PT027	PT028	PT029	PT030	PT031	PT032	PT033	PT034	PT035	VH001	VH003	VH004	VH005	VH006	VH007	VH009	VH010	VH011	VH012	VH013	VH014	VH015	VH016	VH017	VH018	VT001	VT003	VT004	VT005	VT006	VT007	VT009	VT010	VT011	VT012	VT013	VT014	VT015	VT016	VT018
AIM2	2.76550007883327	-0.0648340261286442	0.312332455759094	0.100666341755723	1.16866623001924	1.73966628575116	1.07233332007795	1.85966651069455	1.56883273645725	1.51966699646489	1.26633356077455	1.26533283101472	NA	2.48033301502999	1.45199967948874	2.57900016214252	NA	1.79716587464999	1.12516723502819	3.61633364011511	1.83199978401531	-0.386666377639113	NA	3.76366646702908	NA	2.55683358510335	1.89099979400635	NA	3.74366664886474	1.88866583506266	1.9263334274292	2.26033242543538	3.46999963124593	2.6903330485026	3.05500062306722	2.14816665649414	NA	NA	2.99133237202962	3.32099946339925	NA	3.12033303578694	3.85333283742269	4.50499947865804	5.81699911753337	3.40200010935465	3.78266620635986	6.37433274586995	3.88233280181885	4.86966609954834	4.10816701253255	4.23433272043864	2.8579994837443	4.84883340199788	2.80849901835124	NA	NA	1.89216645558675	2.15733400980631	0.8348331451416	NA	0.00733280181884589	1.86799971262614	NA	NA	NA	1.99533240000407	2.6776663462321	2.1110003789266	NA	2.01733303070068	NA	1.36633268992106	1.70583248138428	1.96816698710124	1.20083395640055	2.48800055185954	1.81766668955485	2.45483334859212	NA	2.30133374532064	2.46483294169108	3.46283308664958	0.536332130432127	1.8774995803833	NA	NA	1.81999918885937	2.44866656021904	2.8513332854899	3.73766610498366	0.844499746344418	2.35199969612983	1.93033200157433	NA	1.34999928992737	1.54933303660384	4.16783366244955	NA	1.87766612638805	2.78133369231762	1.83116503868936	3.19000020124967	3.288832048765	1.91324368087	NA	1.66333368809153	0.890333062594363	NA	1.98499904309513	NA	2.06733341966512	2.35166705296015	2.12116662727393	3.34349949803538	2.75783314788708	NA	NA
CASP1	4.75700030405923	3.66333323261996	3.35433367078676	5.48166673797495	4.68400011807265	4.88400098866414	4.03833433250076	4.47333364458601	4.31900078420679	4.5800007251503	4.51099988443681	4.96066646162873	5.35266637658939	5.05433319876175	4.70800012609926	4.50599950876543	4.10300070976505	4.08933288906378	4.57666603745779	5.28699976614629	4.15733399905509	5.07566654059538	4.2120003970834	5.04333269236941	3.97100030861432	4.8019997070168	4.66100024342583	4.19766617373996	5.45466709592053	4.06733290332424	4.79333398540269	3.89766726460265	4.75133292145518	4.09099989381567	4.86500006559913	4.15483414565732	4.17000042036171	4.05433302509021	5.09633287266349	4.58649983470234	4.9259989914425	4.36800036001148	4.46433290597448	NA	4.85599995953643	4.6656668888938	4.80199908641944	4.79766557187822	4.80100030282576	4.52199967535749	5.02016702411378	NA	5.14400006064748	5.61683369371098	4.68799942276241	NA	4.10699999840183	4.81499956796601	5.0290009236873	4.0783325571767	4.33300052404973	NA	4.62366644111359	4.00799970531126	4.47100037923432	4.12066654165722	4.55499999187086	4.7236668414459	4.35166705296015	4.20166616463174	3.58866654994257	3.23333329494042	5.01066559103989	4.59599971049481	NA	NA	3.42866675365406	4.56699977063933	4.40966736396911	4.16466746969571	4.22833347865861	NA	4.4239994893494	4.00133288515363	4.55100092354521	3.84866620185499	4.71933268651984	4.42366569810033	4.49300096069851	4.3570006490192	4.27566624427969	4.57599986760733	4.69100031365924	4.88933213785879	4.98300009817018	4.21200024139147	4.54966701469045	4.63966722187926	4.4706665521465	4.47166604613753	4.19399995497132	4.65299957861393	NA	NA	3.65024401527986	4.13399917818943	3.79666679328599	4.43566672763145	4.58466689829285	4.77866649630102	4.46666620473728	4.84200063450117	5.23633353047798	4.88133336826766	4.76466653437503	4.51000056166152	4.50766723350335	4.35899960318605
CCL2	4.00066727245673	2.59433332352493	3.35266715334423	3.12600098881333	2.17266736113511	2.42100187820671	2.99566739940944	2.88833334353362	3.1380008399282	3.93200077423728	3.46266710054731	3.85733322889763	2.98766739858925	3.73600039692491	2.99000000662875	3.91400053763548	3.99300031267374	3.61566771110957	2.44600022807579	4.43300021626698	2.99633432797678	3.40500037002486	4.34166750824018	5.33533382495349	4.13700071970622	3.71033445994059	5.33400058746338	4.48900032043457	5.54766623179118	4.48000049591064	3.78333441416422	4.00666713714599	5.70533402760823	4.25400098164876	4.51900132497152	4.39683405558268	4.90566730499267	3.75033410390218	4.27066644032796	4.83500067392985	4.28200054168701	5.12133439381917	5.56700038909912	4.65566730499267	4.85066699981689	4.7046677271525	4.90100002288818	4.34799989064534	5.18033377329508	5.06366761525472	5.8695011138916	4.72766717274983	5.32066694895426	5.1225004196167	4.2773338953654	4.89799976348877	3.00666777292887	3.5090004603068	5.54766750335693	3.54300022125244	4.6013339360555	2.78500080108642	3.82533359527588	3.71300093332926	3.3546667098999	3.71633307139079	3.14966742197672	3.70166746775309	4.00366751352946	3.11766719818115	3.12366771697998	4.36833413441976	3.23233318328857	4.6633342107137	3.5393336613973	3.08233420054118	3.00433381398519	4.15933386484782	4.05433432261149	3.71433480580647	4.79500102996826	4.37433465321859	4.36733404795329	4.02733325958252	3.95100053151448	3.21266714731852	4.65299956003824	3.99533363855371	3.64766782869593	3.51533411998419	3.23666726192608	3.24366664397994	3.31983409106113	3.36733346002605	3.93300092317769	4.5130008156471	5.42400137115926	3.11133417976294	3.47366679023995	3.44066655333202	4.1153345222749	3.12400018241225	3.12866755563925	4.08666710282198	3.80757800729189	4.08166728178444	2.41066781796157	2.21966696778415	3.41299974185884	3.57066693408245	3.53666715854983	3.46333472610459	4.85533425802262	3.51033370396884	3.38033450931643	3.70000040610921	3.5006672082968	2.32033390200877
CCL20	-4.59483273629373	-5.76300017604538	-5.60249992748177	-4.91800023289973	-5.26266636010863	NA	-5.09499964164156	NA	NA	-4.93199922311756	-4.40500003969783	-5.22750061542074	NA	-3.71599992732172	NA	NA	-6.2906662764282	-6.12866714648924	NA	-5.04733307315236	NA	-2.29466660978508	-3.01466718853596	-1.78999995996943	-0.88166650196286	-2.53599961701408	0.0434999463685952	-2.75166638770519	-0.294666608015467	-2.46333345010789	-2.4073336922257	3.31400012965407	0.173666318573211	NA	0.728000322563048	-1.55916658928361	-0.228000323393654	-1.1440006900704	-0.213000296890763	NA	0.119666099058029	-0.793666521135782	-0.89266681617071	-0.63200028668255	0.601333300450863	-0.0739990871162137	1.42099984485478	-1.95600064761631	-0.482999483830334	0.506832441199307	0.640500386245774	-0.15633328794138	0.772665977374796	-0.607499759497479	-0.298000652958071	1.27799987796804	-1.88133271441492	-4.9146671134925	-0.503333091121749	-4.04100004153225	-1.53533331368938	NA	-4.96133296065655	2.95866680138978	NA	-3.77650006684344	-5.4844996177018	-2.82133388645294	-2.03299935408552	-3.13866647099805	-3.5919993787068	NA	-4.53200117340905	-3.28099949739843	-2.64416662802718	-4.91633382152451	-3.43933359131873	-4.59783426508649	NA	NA	0.469332695083303	-5.82199922318383	-2.64033349239586	-3.26233386473445	-2.99233277281719	-7.21600054349574	-1.48466714069952	-3.89900048535411	NA	NA	NA	-1.91500060032736	-4.37300077180112	-4.83800063574968	-6.32566732369681	-5.59333324821223	-2.94266668703489	-2.35166581643926	-6.43733186176357	-5.18066692032037	-3.03966680960118	-3.965667408556	-4.32933329095205	-6.1214990734071	-5.58408969192	NA	NA	NA	-6.04099942407056	-4.5413338360074	NA	-3.01899910227549	-5.80899905357551	-4.27066706929782	-5.03133298417479	-5.70399917734021	-4.71050038749991	-4.14166703817937
CCL27	7.24733320855633	7.35699939761834	8.78466574343616	9.10800011958235	8.38733259855404	7.94299983955404	7.49133332552185	7.36266613049743	NA	NA	6.55616696731345	7.57399972242429	5.10033321352963	6.67733287848014	5.89766597720826	6.81799984001367	7.06766668990004	6.42933305107963	7.46099948902515	8.41866715738826	7.26633421581369	5.7206665669531	6.70433330524198	7.32033252722446	4.59466648101807	5.52400048573812	4.299667040507	4.27866681416829	5.11833286285401	3.53266684214274	6.32066694895426	6.69566694895426	4.40700054168701	5.92900021870931	5.01366710662842	5.9038340250651	6.61566638946533	4.5839999516805	5.05899969736735	5.8095006942749	5.59566593170166	5.07500044504801	5.03933302561442	4.68566608428955	5.92066605885824	5.19866720835368	4.95166619618734	3.60499922434489	5.5943333307902	4.28500016530355	4.02750015258789	4.67266686757406	4.22199980417887	5.85716660817464	4.15300019582113	6.45066674550374	5.57899951934815	7.53033351898193	7.15433343251546	7.17566585540772	7.23033301035563	7.20533339182536	8.09166622161865	6.70466709136963	8.47666645050049	8.07966581980387	7.75566641489665	8.28966681162517	7.1110003789266	7.42833296457926	6.49566682179769	6.63966592152913	6.846999168396	7.73699982961019	6.72233359018962	7.34766674041748	6.45266691843669	6.9796667098999	6.36999988555908	7.26100063323974	7.43466663360596	7.64533392588298	6.83933289845784	6.64966615041097	6.95066610972087	7.85399977366129	8.30966599782308	6.97199985622966	6.35300034260201	7.96600055729123	8.57966708264763	7.82466603620963	7.49866646023296	7.63999969338001	8.0329993817063	7.20433334894801	7.31400011224633	7.7229999004469	7.55966663302313	6.3433326651675	5.96033307658531	7.82749939924286	8.79966641841316	7.18366594693258	6.51257724437435	7.721999190653	7.64000034433037	7.48033234283797	6.54899941259192	7.72999922717335	7.62799933843511	6.7430002819901	7.55866721320234	6.55566632659146	7.06433330994118	6.67566592485789	6.43666624121807	7.51433280883066
CCL5	2.57733238329233	2.21233276104431	2.7436659724248	2.19333303433887	1.67599879641863	1.27900052287061	2.15733383735051	3.41966657111643	3.90966636187718	2.40266706527893	2.83966598126412	2.93933265987792	2.34633260262466	3.19266604195239	3.20099987695974	2.8366658409803	1.73933313281039	2.72233355275377	2.21299912635845	4.22199977452152	1.98900054560804	1.02799974106394	2.76233265566813	2.50949975381232	1.53466701507568	2.34300009409587	1.54800001780192	2.36199951171875	3.23333263397217	2.61400000254313	3.53366692860921	1.8013334274292	3.16599941253662	4.79633331298828	4.006667137146	4.02250035603841	2.91566689809163	2.53799978892008	2.37166627248128	4.87699985504151	4.0013329188029	6.09799925486247	4.11199919382731	4.34533278147379	4.05933284759521	4.38866710662842	4.85366598765055	4.83433310190837	5.30933348337809	3.60899957021078	5.0211664835612	4.13199965159098	4.8013334274292	4.93816661834717	3.00166606903076	4.42733351389567	3.29233328501383	1.30033334096272	2.51466655731201	2.84133307139079	2.69933287302653	0.809999783833822	3.65566603342692	1.67433325449626	3.12433338165283	3.18799940745036	3.23366641998291	4.09133307139079	2.62766679128011	3.26799996693929	3.69833405812581	3.97866662343343	2.61433251698812	5.36733277638753	3.3889996210734	2.69349988301595	3.23833306630452	3.7106663386027	3.48766676584879	3.99333413441976	3.58800029754638	3.52166652679443	5.51333332061768	3.19466559092204	4.63700008392334	4.07299963633219	3.24833265940348	3.31233248480555	3.67533393633621	3.29300019793762	3.11933293435467	4.56466576426396	5.47333302757824	3.43333272310508	3.96066636896812	3.48466586250616	3.14033351078765	2.15900069519559	3.22466683967688	3.0136652054779	2.24333334723977	2.9086663255507	3.26733368675644	3.1716654444133	2.4049099324342	6.12833310180096	2.49400053584642	2.81933280987793	4.62233318346075	1.87433271120931	2.30766633168335	3.39566704150341	3.69200039719863	2.91866711280355	5.14999930493891	2.48699928038471	1.11466619488827	1.47833299611648
CTLA4	NA	NA	1.59633266161707	0.0756681662564833	0.823499923671314	1.2705008357165	0.301168531106274	2.71516744866075	2.82916640072301	2.65483282305204	1.84383313683428	NA	2.58416759725303	2.98516722399697	1.62850065860168	3.44750091069764	2.79649995145806	NA	NA	2.75433468376116	2.92033427445527	2.71716685955509	NA	NA	3.99683380126953	3.00750096638997	3.55083401997884	4.6320006052653	4.91916720072428	NA	3.6641674041748	3.36633396148681	4.7788340250651	4.60016663869222	5.97050094604492	5.70300070444743	2.06683349609375	NA	NA	4.84316698710123	4.61016654968261	4.65183321634928	6.52649943033854	7.00366655985514	6.64883295694987	6.28616778055827	7.3961664835612	6.55383237202962	5.72683397928873	6.92550086975098	7.40566730499267	6.62083371480306	6.80716641743977	5.65800031026204	4.86083348592122	6.65716616312662	4.88150056203206	2.16550000508626	3.35716756184896	1.50933329264323	3.76616668701172	NA	2.10849889119466	NA	2.23216501871745	NA	1.99433453877767	NA	3.65433438618978	2.70016543070475	3.1223341623942	NA	2.26383336385091	3.78449948628743	3.68616676330566	3.34450085957845	3.11850102742513	3.398499806722	4.50050036112467	NA	6.3131669362386	3.66050084431966	6.17083358764648	3.56450017293294	4.49150085449218	3.626833597819	5.20049985249837	NA	5.90100066455417	5.61316680767501	4.1178324910528	4.98249943830873	6.20650005299372	4.47583328145983	3.55949976697257	4.87583352434648	2.95516677805494	3.04916704447331	4.08050093654146	4.13050013800661	4.68916701927586	3.30216724190244	6.46816730928667	NA	3.5377438419469	5.06949995005416	3.72016746758173	3.54616672603669	5.17033386739403	4.01983328087675	NA	4.43883415992546	3.9975007116187	4.86383376205769	6.34350077719051	4.95650036162926	2.00583219251868	NA
CXCL1	-7.16149934132894	NA	-10.8526671727498	NA	-11.320333480835	-10.3419990539551	-10.9728326797485	NA	-10.8536672592163	NA	NA	-10.6270004908244	-10.3298349380493	NA	-10.993000348409	NA	-9.01999950408936	-11.9348338445028	NA	-8.96866671244303	-8.78099918365478	-10.4426654179891	-10.1196660995483	NA	-5.16333293914795	-7.95766607920329	-4.74833265940349	-6.79466692606608	-5.17666657765706	-6.95433266957601	-9.25333309173584	-7.17666657765706	-4.25333309173584	-4.98533312479655	-5.84866587320963	-6.1081657409668	-8.09700043996175	-5.22566636403402	-4.91533311208089	-7.66966660817464	-7.69600009918213	-4.16799958546956	-5.56900056203206	-3.71466668446859	-4.17533397674561	-9.23899936676026	-5.51100063323975	-5.48666667938233	-4.65833314259847	-4.48566659291585	-5.61649958292643	-3.97799968719483	-5.27966658274333	-5.72516663869222	-6.65266640981038	-5.66166655222575	-8.60699907938639	-9.58833312988281	-8.34516588846842	-10.3093334833781	-9.55166657765706	NA	-10.2266664505005	-7.21766630808512	-9.58833344777425	-11.4726680119832	NA	-10.9253327051798	-9.56333255767822	-10.7633333206177	-7.80766582489014	-8.1230001449585	-9.0811669031779	-9.01133378346761	-10.5103336970011	-10.4611660639445	-10.5680004755656	-10.8953332901001	-10.3246660232544	-9.96133327484131	-6.30166657765706	NA	-7.42699972788493	-9.7578337987264	NA	NA	NA	NA	-9.76133252029728	NA	NA	-10.0653340760836	NA	NA	-12.2503350778302	-9.34033301377735	-7.60083293555784	-9.34433270432208	-9.83150064325405	NA	-9.46900014489902	-10.2093331075826	NA	NA	-12.1512565015389	NA	-12.2158330364911	-10.493333113927	NA	-10.7253331729496	-9.53699901634183	-8.31266591871865	-8.67599903127131	NA	-8.27166652645658	NA	-9.9786660288228	NA
CXCL10	2.20133368664952	0.0253324728747601	0.851999636389256	1.05399955454344	0.992665916031909	0.0813334912123447	0.768500677082916	-0.421167337944447	3.05133278818059	1.22766622870229	1.53916645582021	-0.78433457250917	1.88266660177744	NA	NA	NA	1.16266662409451	NA	NA	2.28766664100583	-0.209833520769703	NA	1.48433336529836	2.97133286600639	3.58599948579477	3.83333301044648	4.98499965809351	3.17566618104829	4.50500011441907	4.071998915291	4.64266681505445	2.46166643136507	4.82166703556663	5.18533261765004	3.9921661974015	3.53483327023753	1.71666686052805	3.78599961090931	4.67566585711869	3.54266642945419	4.242332773717	6.12133312162903	4.39533265561856	3.67799981364364	3.73099930795719	2.83100063900309	5.36233234573425	5.34666601699179	4.49116706961226	4.28899923788281	4.98949940898396	4.77766577595795	4.24833265643644	4.26483249838712	3.91933282603959	4.3683328632026	1.64633337365217	2.62099870427222	5.09900061280237	0.0406656485094255	3.85599994957314	0.778999612529379	3.13966592853085	NA	2.28849984193041	2.87616633520893	NA	2.68966643065116	NA	2.4923327864122	2.43699996903955	1.7216663312322	3.48133246366555	5.65066623770768	2.22799937644025	NA	1.57599991599684	-0.444667179660664	4.68833383123882	1.27433365255288	4.06833362942648	1.27916685635731	2.72866663031746	3.89699903959696	4.25866667655415	1.96666556904771	1.42299968624032	2.45616530841918	5.71833387899596	4.55499998573348	6.20899931509898	1.16166592552477	7.01366583517246	5.56233247000805	5.62466589511448	1.35199958309505	1.06233312586228	NA	4.42133299374745	1.25450007735394	2.98599911220013	4.23449961146114	5.51350053301536	2.53466575390327	3.25357713192722	NA	1.06650035593333	-0.243666680324312	5.60999965773893	1.80383238661521	3.64866606032856	4.40033308923362	0.125667631070047	3.86733277396007	7.81766605363209	NA	-0.431333929928299	NA
CXCL2	-5.11866728961152	-8.68733378565715	NA	-9.18116723572459	NA	NA	-7.5876661268983	NA	-7.1189997512095	-6.73300013667922	-6.31050012690398	-7.37949967901997	-6.03933361991261	NA	NA	-7.94916637843896	-6.92033292616344	-6.98816676422542	-7.68716697248224	-5.90333337459409	-5.96999958981493	-8.08566615471402	-8.35400189874024	-6.41600004788666	-4.94966665903728	-6.53033288319906	-3.90300019582113	NA	-4.64166673024495	-5.62600040435791	-6.95366636912028	-5.6779998143514	-4.14299933115642	-4.99666659037272	-5.14833291371663	-6.09216562906901	NA	-4.55766646067302	-4.08250013987224	-6.70366605122884	-5.62566725413005	-3.95449988047282	-4.6696678797404	-5.08366680145264	-3.89300060272217	-6.51366647084554	-4.92233435312907	-5.58800029754639	-4.08533318837484	-4.61866696675619	-4.82450040181478	NA	-3.60400040944418	-5.02116680145264	-5.01333363850912	-4.84400049845378	-5.97183354695638	-6.34916750590007	NA	NA	-8.11416625976563	-8.38950061798096	NA	-5.76866626739502	NA	-8.17700099945069	-7.43533293406169	-7.65216668446859	NA	NA	-5.47649955749512	-6.77999973297119	-7.3956683476766	NA	-6.96366723378499	-7.80749924977621	NA	-6.1779998143514	NA	NA	-4.95200030008952	-8.61249955495199	-7.05800088246663	-5.77466678619385	-6.01183319091797	-5.71033318837484	-6.25733470916748	-7.62749956774647	NA	-7.83433245884024	NA	-8.33583420071715	-6.61300055221982	-8.62450025053518	-5.85566679315668	-7.50699997798636	NA	-7.60000007738014	NA	-6.54466661410844	-6.21766757917115	-7.51416620227233	NA	NA	-7.99858992285452	NA	-7.94366678540051	-7.42166708734963	-6.71466732669286	-9.20533337709322	NA	-5.92749945695959	-7.23249912998515	-7.46166674957337	-6.16433302090534	-6.59700043331723	-6.52849991522002	NA
