variable	Difference	lwr	upr	p_adj	Groups
1	AIM2	-2.28465499877929	-4.1291341254206	-0.440175872137993	0.00774813458997758	PSNL.(0,10]-PSL.(0,10]
3	AIM2	-2.26953454812368	-3.91459335960029	-0.624475736647066	0.00230020334004044	PSNL.(10,20]-PSL.(0,10]
5	AIM2	-2.02320106824239	-3.668259879719	-0.378142256765779	0.00833713865829067	PSNL.(20,Inf]-PSL.(0,10]
10	AIM2	-1.54536810186174	-2.93569655565984	-0.155039648063648	0.0216720784461317	PSNL.(10,20]-PSL.(10,20]
16	CCL2	-1.12966648737589	-2.0032455870059	-0.256087387745893	0.00437136843470787	PSNL.(0,10]-PSL.(0,10]
18	CCL2	-1.12405554453532	-1.92152050892266	-0.326590580147977	0.0014704158169524	PSNL.(10,20]-PSL.(0,10]
21	CCL2	1.15291665150569	0.367816233883409	1.93801706912797	0.000829314204743747	PSL.(10,20]-PSNL.(0,10]
23	CCL2	1.13990129124034	0.328066432784263	1.95173614969643	0.00154904342396278	PSL.(20,Inf]-PSNL.(0,10]
25	CCL2	-1.14730570866511	-1.84672875079743	-0.447882666532801	0.000146209040988721	PSNL.(10,20]-PSL.(10,20]
28	CCL2	1.13429034839977	0.404985361772537	1.863595335027	0.000349084642127018	PSL.(20,Inf]-PSNL.(10,20]
31	CCL20	-2.70772254093038	-5.31659374833823	-0.0988513335225201	0.0377091973127861	PSNL.(0,10]-PSL.(0,10]
33	CCL20	-4.40203691509918	-6.74933072273129	-2.05474310746707	1.5216391255457e-05	PSNL.(10,20]-PSL.(0,10]
38	CCL20	2.5009648402044	0.0492964169728656	4.95263326343594	0.0430980445441853	PSL.(20,Inf]-PSNL.(0,10]
40	CCL20	-3.91308238901227	-6.08431643903474	-1.74184833898981	3.24198777861273e-05	PSNL.(10,20]-PSL.(10,20]
43	CCL20	4.1952792143732	2.02404516435074	6.36651326439567	8.41320041344851e-06	PSL.(20,Inf]-PSNL.(10,20]
44	CCL20	2.26434003386995	0.0931059838474857	4.43557408389241	0.0363084839716235	PSNL.(20,Inf]-PSNL.(10,20]
46	CCL27	1.57883358001709	0.464050739692505	2.69361642034168	0.00137822341646154	PSNL.(0,10]-PSL.(0,10]
48	CCL27	2.17263886663649	1.15498601936073	3.19029171391225	6.89427758104877e-07	PSNL.(10,20]-PSL.(0,10]
50	CCL27	1.71861370404562	0.68262329428479	2.75460411380644	0.000120616278049268	PSNL.(20,Inf]-PSL.(0,10]
51	CCL27	-1.87258316309024	-2.87445749120509	-0.870708834975389	1.290766030837e-05	PSL.(10,20]-PSNL.(0,10]
53	CCL27	-2.05894693461332	-3.09493734437414	-1.02295652485249	3.54157557136414e-06	PSL.(20,Inf]-PSNL.(0,10]
55	CCL27	2.46638844970964	1.5738478591358	3.35892904028347	5.91318771725469e-10	PSNL.(10,20]-PSL.(10,20]
57	CCL27	2.01236328711876	1.09896987934212	2.92575669489541	3.21357955024304e-07	PSNL.(20,Inf]-PSL.(10,20]
58	CCL27	-2.65275222123271	-3.58342545368474	-1.72207898878068	2.29621321956586e-10	PSL.(20,Inf]-PSNL.(10,20]
60	CCL27	2.19872705864184	1.24803705808926	3.14941705919441	9.37359786457037e-08	PSNL.(20,Inf]-PSL.(20,Inf]
78	CTLA4	-2.42483325799306	-4.38051787640406	-0.469148639582065	0.0073472696348541	PSNL.(10,20]-PSL.(0,10]
81	CTLA4	2.19783372349209	0.242149105081096	4.15351834190309	0.0193269938306302	PSL.(10,20]-PSNL.(0,10]
85	CTLA4	-2.67073631286621	-4.45602394764886	-0.885448678083569	0.000713401539517711	PSNL.(10,20]-PSL.(10,20]
88	CTLA4	2.39471775514108	0.494133933233844	4.29530157704831	0.00617405643671731	PSL.(20,Inf]-PSNL.(10,20]
91	CXCL1	-3.44720816612243	-5.39528147853574	-1.49913485370913	4.40470112959002e-05	PSNL.(0,10]-PSL.(0,10]
93	CXCL1	-3.71866683732896	-5.73511428728456	-1.70221938737335	2.03257869435536e-05	PSNL.(10,20]-PSL.(0,10]
95	CXCL1	-2.14143300056458	-3.98953761542902	-0.29332838570013	0.0144259401978941	PSNL.(20,Inf]-PSL.(0,10]
96	CXCL1	3.78278529338348	2.03201862350517	5.53355196326178	7.12919134948642e-07	PSL.(10,20]-PSNL.(0,10]
98	CXCL1	4.74187515721176	2.9314909315418	6.55225938288173	5.20639553691638e-09	PSL.(20,Inf]-PSNL.(0,10]
100	CXCL1	-4.05424396459	-5.88078567510533	-2.22770225407467	3.789859330805e-07	PSNL.(10,20]-PSL.(10,20]
102	CXCL1	-2.47701012782562	-4.11581608623042	-0.838204169420816	0.000587338606444332	PSNL.(20,Inf]-PSL.(10,20]
103	CXCL1	5.01333382841828	3.12957117552113	6.89709648131544	3.32108363032546e-09	PSL.(20,Inf]-PSNL.(10,20]
105	CXCL1	-3.4360999916539	-5.13844898099215	-1.73375100231566	3.24676780882882e-06	PSNL.(20,Inf]-PSL.(20,Inf]
108	CXCL10	-1.5893695646919	-3.14875702255321	-0.0299821068305919	0.0433489909807455	PSNL.(10,20]-PSL.(0,10]
111	CXCL10	1.9621579358256	0.305823345537987	3.61849252611322	0.0115404531822695	PSL.(10,20]-PSNL.(0,10]
113	CXCL10	2.18390385021522	0.480682606054253	3.88712509437619	0.00492999031197372	PSL.(20,Inf]-PSNL.(0,10]
115	CXCL10	-2.19278428973241	-3.56763700145677	-0.817931578008049	0.000249321016935866	PSNL.(10,20]-PSL.(10,20]
118	CXCL10	2.41453020412203	0.983538131986819	3.84552227625723	9.75603209790732e-05	PSL.(20,Inf]-PSNL.(10,20]
123	CXCL2	-2.02551169054849	-3.43950058746151	-0.611522793635467	0.00137076567568484	PSNL.(10,20]-PSL.(0,10]
126	CXCL2	1.54454742537604	0.0902835414185481	2.99881130933354	0.0315411624043413	PSL.(10,20]-PSNL.(0,10]
128	CXCL2	2.25410010019938	0.757674909064018	3.75052529133474	0.000692223866313069	PSL.(20,Inf]-PSNL.(0,10]
130	CXCL2	-2.06793060567644	-3.31495159828924	-0.820909613063638	0.00016309267236958	PSNL.(10,20]-PSL.(10,20]
133	CXCL2	2.77748328049977	1.48154105011357	4.07342551088598	1.33186518580519e-06	PSL.(20,Inf]-PSNL.(10,20]
135	CXCL2	-1.67560861110687	-2.97155084149308	-0.379666380720664	0.00476613941729309	PSNL.(20,Inf]-PSL.(20,Inf]
166	FOXP3	-2.05304154515462	-3.30628928430377	-0.799793806005467	0.000152231519569779	PSNL.(0,10]-PSL.(0,10]
168	FOXP3	-2.15134287853934	-3.31601154031649	-0.986674216762198	1.68378483387244e-05	PSNL.(10,20]-PSL.(0,10]
170	FOXP3	-1.65802442495085	-2.82269308672799	-0.493355763173702	0.00129600102120697	PSNL.(20,Inf]-PSL.(0,10]
171	FOXP3	2.27342148286714	1.14710639152978	3.39973657420451	2.61658911826501e-06	PSL.(10,20]-PSNL.(0,10]
173	FOXP3	1.44422909744925	0.279560435672108	2.6088977592264	0.00707043441918009	PSL.(20,Inf]-PSNL.(0,10]
175	FOXP3	-2.37172281625186	-3.39856695292383	-1.3448786795799	1.03191291844773e-07	PSNL.(10,20]-PSL.(10,20]
177	FOXP3	-1.87840436266337	-2.90524849933534	-0.8515602259914	2.03960401610193e-05	PSNL.(20,Inf]-PSL.(10,20]
178	FOXP3	1.54253043083397	0.47375716780338	2.61130369386457	0.00107174407558797	PSL.(20,Inf]-PSNL.(10,20]
198	IFNG	-1.5893695646919	-3.14875702255321	-0.0299821068305919	0.0433489909807455	PSNL.(10,20]-PSL.(0,10]
201	IFNG	1.9621579358256	0.305823345537987	3.61849252611322	0.0115404531822695	PSL.(10,20]-PSNL.(0,10]
203	IFNG	2.18390385021522	0.480682606054253	3.88712509437619	0.00492999031197372	PSL.(20,Inf]-PSNL.(0,10]
205	IFNG	-2.19278428973241	-3.56763700145677	-0.817931578008049	0.000249321016935866	PSNL.(10,20]-PSL.(10,20]
208	IFNG	2.41453020412203	0.983538131986819	3.84552227625723	9.75603209790732e-05	PSL.(20,Inf]-PSNL.(10,20]
218	IFNGR	0.887137047519541	0.0879774877875842	1.6862966072515	0.0212785481640129	PSL.(20,Inf]-PSNL.(0,10]
226	IL1b	-2.64241573595489	-5.13297754393744	-0.15185392797235	0.0317724140734099	PSNL.(0,10]-PSL.(0,10]
228	IL1b	-3.04669393506962	-5.37640118158336	-0.716986688555884	0.00415355840157994	PSNL.(10,20]-PSL.(0,10]
230	IL1b	-2.39115677343176	-4.66471824525324	-0.117595301610274	0.0340836947820025	PSNL.(20,Inf]-PSL.(0,10]
231	IL1b	3.06573711737352	0.876411068838348	5.25506316590869	0.00181418268378897	PSL.(10,20]-PSNL.(0,10]
233	IL1b	3.47482796894225	1.28550192040708	5.66415401747742	0.000315410357864088	PSL.(20,Inf]-PSNL.(0,10]
