variable	Difference	lwr	upr	p_adj	Groups
1	AIM2	-1.2593122834251	-2.51041383604602	-0.00821073080419032	0.048457018970568	PSNL.early.severe-PSL.early.severe
6	CCL2	-1.2925554646386	-2.54656548033144	-0.0385454489457682	0.0420296332213218	PSNL.late.severe-PSL.early.severe
16	CCL27	2.4288748105367	1.44647082229101	3.41127879878239	8.80586297213881e-06	PSNL.early.severe-PSL.early.severe
18	CCL27	2.0128190252516	0.682637737022349	3.34300031348086	0.00233582407229327	PSNL.late.severe-PSL.early.severe
19	CCL27	-2.00105550554064	-3.33123679376989	-0.670874217311382	0.00246560911891458	PSL.late.severe-PSNL.early.severe
34	CXCL1	-3.60462514559428	-5.23269760632019	-1.97655268486837	4.3939856181896e-05	PSNL.early.severe-PSL.early.severe
36	CXCL1	-3.11866609255473	-5.69287467839917	-0.54445750671028	0.0148579645444205	PSNL.late.severe-PSL.early.severe
37	CXCL1	3.34306955337524	1.13864902063067	5.54749008611982	0.00242041810304061	PSL.late.severe-PSNL.early.severe
42	CXCL10	-2.84397183602065	-4.43708216547628	-1.25086150656502	0.000494901755919819	PSNL.late.severe-PSL.early.severe
44	CXCL10	-2.1532220575507	-3.77707046766537	-0.529373647436031	0.00754515173815573	PSNL.late.severe-PSNL.early.severe
45	CXCL10	-2.07799964365821	-3.99936299363778	-0.156636293678645	0.0315830634284279	PSNL.late.severe-PSL.late.severe
46	CXCL2	-1.97321931748163	-3.55068216855728	-0.395756466405981	0.0127318133565881	PSNL.early.severe-PSL.early.severe
78	IFNG	-2.84397183602065	-4.43708216547628	-1.25086150656502	0.000494901755919819	PSNL.late.severe-PSL.early.severe
80	IFNG	-2.1532220575507	-3.77707046766537	-0.529373647436031	0.00754515173815573	PSNL.late.severe-PSNL.early.severe
81	IFNG	-2.07799964365821	-3.99936299363778	-0.156636293678645	0.0315830634284279	PSNL.late.severe-PSL.late.severe
88	IL1b	-2.81786034033549	-4.91410741215119	-0.721613268519784	0.00701130987957865	PSNL.early.severe-PSL.early.severe
90	IL1b	-4.84322887450895	-8.04529916848395	-1.64115858053395	0.00263226271473516	PSNL.late.severe-PSL.early.severe
93	IL1b	-4.68052702971128	-8.37795932209242	-0.983094737330145	0.0110560208149961	PSNL.late.severe-PSL.late.severe
94	IL1F6	-3.77177075544993	-6.67730529005251	-0.86623622084735	0.00866955188300378	PSNL.early.severe-PSL.early.severe
103	IL1RN	1.44819407992892	0.36639822515331	2.52998993470454	0.0067781913086441	PSL.late.severe-PSNL.early.severe
112	CXCL8	-5.44079147444831	-9.80990226611679	-1.07168068277983	0.0145627254361547	PSNL.early.severe-PSL.early.severe
118	LCN2	-4.28897657909207	-5.87394028107069	-2.70401287711344	2.79741241331344e-05	PSNL.early.severe-PSL.early.severe
121	LCN2	3.78243848144574	1.51773295521557	6.04714400767591	0.00185903203113758	PSL.late.severe-PSNL.early.severe
130	PI3	-6.9752084012801	-9.65893203425001	-4.29148476831018	4.49115188161375e-06	PSNL.early.severe-PSL.early.severe
132	PI3	-6.40093066434113	-10.0347096412872	-2.76715168739501	0.000516140853199953	PSNL.late.severe-PSL.early.severe
133	PI3	6.7477220689843	3.11394309203819	10.3815010459304	0.000291320507035175	PSL.late.severe-PSNL.early.severe
135	PI3	-6.17344433204534	-10.5559466729951	-1.7909419910956	0.00442540227522414	PSNL.late.severe-PSL.late.severe
142	S100A8	-5.75966667113562	-8.5954183219751	-2.92391502029614	0.000104425995864688	PSNL.early.severe-PSL.early.severe
144	S100A8	-4.76290300232438	-8.60252888856267	-0.923277116086092	0.0122770550575505	PSNL.late.severe-PSL.early.severe
145	S100A8	5.71620815641056	1.87658227017227	9.55583404264885	0.00271251716232324	PSL.late.severe-PSNL.early.severe
147	S100A8	-4.71944448759932	-9.3502075421405	-0.0886814330581442	0.0448844575957845	PSNL.late.severe-PSL.late.severe
148	S100A9	-5.7472501595815	-8.5538535101961	-2.94064680896691	9.47861522366811e-05	PSNL.early.severe-PSL.early.severe
150	S100A9	-4.66895098156399	-8.46910988272614	-0.868792080401842	0.0131812662169604	PSNL.late.severe-PSL.early.severe
151	S100A9	5.86318776342603	2.06302886226388	9.66334666458819	0.00194816873794856	PSL.late.severe-PSNL.early.severe
153	S100A9	-4.78488858540852	-9.36805266500275	-0.201724505814294	0.0389669568250457	PSNL.late.severe-PSL.late.severe
