variable	Difference	lwr	upr	p_adj	Groups
1	AIM2	-1.6184807809008	-2.46184243646903	-0.775119125332579	3.83588686843073e-05	PSNL.no-PSL.no
3	AIM2	-2.80567564044083	-4.39861761046449	-1.21273367041716	0.000149984276503812	PSNL.yes-PSL.no
6	AIM2	-2.14523819514683	-3.91459896968666	-0.37587742060701	0.0119142507851788	PSNL.yes-PSL.yes
7	CCL2	-0.830120158080317	-1.30521113280819	-0.355029183352445	0.000123206599312753	PSNL.no-PSL.no
9	CCL2	-1.09864597044129	-1.80146753671604	-0.395824404166545	0.000648891683062369	PSNL.yes-PSL.no
10	CCL2	0.920180409042923	0.283784345705776	1.55657647238007	0.00177659755066029	PSL.yes-PSNL.no
12	CCL2	-1.1887062214039	-2.00922232068778	-0.368190122120022	0.00173520821763307	PSNL.yes-PSL.yes
13	CCL20	-2.89539680520076	-4.31573792530373	-1.4750556850978	9.45237247196307e-06	PSNL.no-PSL.no
15	CCL20	-3.432583912222	-5.72281515237743	-1.14235267206657	0.00120410019434625	PSNL.yes-PSL.no
16	CCL20	2.22624605422481	0.392593552860687	4.05989855558894	0.0114370145843699	PSL.yes-PSNL.no
18	CCL20	-2.76343316124605	-5.33054666315582	-0.196319659336275	0.0302748194383183	PSNL.yes-PSL.yes
19	CCL27	1.95100291109316	1.37108985712157	2.53091596506474	2.82377454752236e-11	PSNL.no-PSL.no
21	CCL27	2.061476914779	1.20358774706973	2.91936608248827	1.98026547049146e-07	PSNL.yes-PSL.no
22	CCL27	-2.54378218120999	-3.32059000172632	-1.76697436069366	4.35345093308115e-11	PSL.yes-PSNL.no
24	CCL27	2.65425618489584	1.65270485624533	3.65580751354634	1.57472491713051e-08	PSNL.yes-PSL.yes
31	CTLA4	-1.83051330881907	-2.96837553827263	-0.692651079365523	0.000484608844251944	PSNL.no-PSL.no
33	CTLA4	-2.15229017015487	-3.81586654163631	-0.488713798673433	0.00632841971019871	PSNL.yes-PSL.no
37	CXCL1	-3.50246016184489	-4.66709984096772	-2.33782048272205	7.25587590011401e-10	PSNL.no-PSL.no
39	CXCL1	-3.44991022745768	-5.32951425060639	-1.57030620430897	6.10099220375027e-05	PSNL.yes-PSL.no
40	CXCL1	3.82362047831217	2.29465029295944	5.3525906636649	1.04227718011884e-07	PSL.yes-PSNL.no
42	CXCL1	-3.77107054392496	-5.89575299769236	-1.64638809015757	0.0001060761955467	PSNL.yes-PSL.yes
43	CXCL10	-1.43084622943515	-2.40709806280285	-0.454594396067451	0.00154868465371283	PSNL.no-PSL.no
45	CXCL10	-1.78931785142896	-3.16765112351683	-0.410984579341091	0.00599023955575606	PSNL.yes-PSL.no
46	CXCL10	1.66750728235178	0.385857710065721	2.94915685463784	0.005857192449087	PSL.yes-PSNL.no
48	CXCL10	-2.02597890434559	-3.63512793191628	-0.4168298767749	0.00809483611210948	PSNL.yes-PSL.yes
49	CXCL2	-1.6524431538515	-2.51115606707265	-0.793730240630356	3.29844776963961e-05	PSNL.no-PSL.no
51	CXCL2	-1.95478368940807	-3.3906720161766	-0.518895362639544	0.00384243427046227	PSNL.yes-PSL.no
52	CXCL2	1.82628453946581	0.697812367925994	2.95475671100562	0.00047471584334724	PSL.yes-PSNL.no
54	CXCL2	-2.12862507502238	-3.74040572435316	-0.516844425691595	0.00525995774992294	PSNL.yes-PSL.yes
67	FOXP3	-1.93447091704527	-2.60653439712924	-1.26240743696129	1.64300639760029e-09	PSNL.no-PSL.no
69	FOXP3	-2.22812955848213	-3.21192975734213	-1.24432935962214	8.35993036352178e-07	PSNL.yes-PSL.no
70	FOXP3	1.29982046633389	0.403735826221918	2.19590510644585	0.00172002699391571	PSL.yes-PSNL.no
72	FOXP3	-1.59347910777075	-2.74202653485375	-0.444931680687755	0.00290188137960856	PSNL.yes-PSL.yes
73	IFIH1	-0.925421298240004	-1.69189375705495	-0.158948839425056	0.0119295516445802	PSNL.no-PSL.no
74	IFIH1	-1.09343314952811	-2.15456621897174	-0.0323000800844895	0.0410644515818386	PSL.yes-PSL.no
75	IFIH1	-1.88656871475776	-3.07031221080694	-0.702825218708576	0.00051772394878058	PSNL.yes-PSL.no
79	IFNG	-1.43084622943515	-2.40709806280285	-0.454594396067451	0.00154868465371283	PSNL.no-PSL.no
81	IFNG	-1.78931785142896	-3.16765112351683	-0.410984579341091	0.00599023955575606	PSNL.yes-PSL.no
82	IFNG	1.66750728235178	0.385857710065721	2.94915685463784	0.005857192449087	PSL.yes-PSNL.no
84	IFNG	-2.02597890434559	-3.63512793191628	-0.4168298767749	0.00809483611210948	PSNL.yes-PSL.yes
85	IFNGR	-0.682978574230442	-1.12583513716465	-0.24012201129623	0.000786464449551882	PSNL.no-PSL.no
87	IFNGR	-0.746603699788864	-1.39769181671409	-0.0955155828636424	0.0184563210526073	PSNL.yes-PSL.no
91	IL1b	-2.90756380281868	-4.12269560892355	-1.6924319967138	4.32641162340097e-07	PSNL.no-PSL.no
93	IL1b	-3.87974162305792	-5.95725347872885	-1.80222976738699	5.31192027529714e-05	PSNL.yes-PSL.no
94	IL1b	3.26246810479428	1.66385646220531	4.86107974738325	1.11141259419023e-05	PSL.yes-PSNL.no
96	IL1b	-4.23464592503352	-6.55737479170448	-1.91191705836256	7.88106506578456e-05	PSNL.yes-PSL.yes
97	IL1F6	-4.27553860922367	-5.43375891707644	-3.11731830137089	1.83600912251336e-11	PSNL.no-PSL.no
99	IL1F6	-3.28716568917221	-5.00056849865007	-1.57376287969436	2.44688818956673e-05	PSNL.yes-PSL.no
100	IL1F6	3.17884765439453	1.62738302213785	4.7303122866512	6.88801926707061e-06	PSL.yes-PSNL.no
102	IL1F6	-2.19047473434307	-4.19080406001607	-0.190145408670082	0.026522199302091	PSNL.yes-PSL.yes
103	IL1RN	-0.994230644714428	-1.46963835086063	-0.51882293856823	4.53697270941245e-06	PSNL.no-PSL.no
105	IL1RN	-0.761940948217799	-1.46523106827142	-0.0586508281641779	0.0287407353680057	PSNL.yes-PSL.no
