variable	Difference	lwr	upr	p_adj	Groups
5	AIM2	-1.84474150339762	-3.60397686385313	-0.0855061429421176	0.0340573471503515	PSNL.early.yes-PSL.early.no
10	AIM2	1.72623290618261	0.0329100747917379	3.41955573757347	0.0429619039797862	PSL.early.yes-PSNL.early.no
23	AIM2	-1.63637485106786	-2.89850317068199	-0.374246531453729	0.00394915394608952	PSNL.early.yes-PSL.early.yes
25	AIM2	-2.10150004095501	-4.18086773359168	-0.0221323483183502	0.0460279519764779	PSNL.late.yes-PSL.early.yes
35	CCL2	-1.18261886021447	-2.27427505923576	-0.0909626611931895	0.0248954177111741	PSNL.late.yes-PSL.early.no
38	CCL2	1.17035604614058	0.238598998313634	2.10211309396753	0.00505483569922993	PSL.early.yes-PSNL.early.no
51	CCL2	-0.842774503371295	-1.51579670579925	-0.169752300943344	0.00524759069894798	PSNL.early.yes-PSL.early.yes
53	CCL2	-1.25719723581266	-2.13839014638751	-0.376004325237809	0.000897154162769365	PSNL.late.yes-PSL.early.yes
66	CCL20	3.68439995753466	0.861838835476403	6.50696107959292	0.00329608162899564	PSL.early.yes-PSNL.early.no
68	CCL20	3.90494299487061	0.704459513765364	7.10542647597586	0.00741551290151554	PSL.late.yes-PSNL.early.no
79	CCL20	-3.09374266947175	-5.12492233790201	-1.0625630010415	0.000365133748136626	PSNL.early.yes-PSL.early.yes
82	CCL20	3.3142857068077	0.784081353298439	5.84449006031697	0.0031535840376099	PSL.late.yes-PSNL.early.yes
85	CCL27	2.18027777141995	0.741929750847634	3.61862579199226	0.000347092734932608	PSNL.early.no-PSL.early.no
89	CCL27	2.39447687498105	1.21146681025162	3.57748693971048	1.06878060968096e-06	PSNL.early.yes-PSL.early.no
91	CCL27	2.08679361948891	0.700766785907813	3.47282045307001	0.000387587070597495	PSNL.late.yes-PSL.early.no
94	CCL27	-2.10946731941373	-3.29247738414316	-0.926457254684294	1.75639348732881e-05	PSL.early.yes-PSNL.early.no
96	CCL27	-1.93165075211298	-3.31767758569408	-0.545623918531885	0.00126630305348296	PSL.late.yes-PSNL.early.no
107	CCL27	2.32366642297483	1.46916036786581	3.17817247808385	2.94550162038831e-10	PSNL.early.yes-PSL.early.yes
109	CCL27	2.01598316748269	0.89717211624406	3.13479421872132	1.41636639587883e-05	PSNL.late.yes-PSL.early.yes
110	CCL27	-2.14584985567408	-3.26466090691272	-1.02703880443545	3.69781797482371e-06	PSL.late.yes-PSNL.early.yes
