variable	Difference	lwr	upr	p_adj	Groups
1	AIM2	-2.90620772043864	-5.33026746372784	-0.482147977149434	0.00855593899923734	PSNL.early.0_10-PSL.early.0_10
5	AIM2	-2.69686084323459	-4.90971451346739	-0.484007173001792	0.00709726677354727	PSNL.early.10_20-PSL.early.0_10
7	AIM2	-3.41766659418742	-6.38652133272769	-0.448811855647153	0.0133245959338634	PSNL.late.10_20-PSL.early.0_10
9	AIM2	-2.6299162819272	-4.7786155899703	-0.481216973884099	0.00675385572088005	PSNL.early.20_Inf-PSL.early.0_10
56	CCL2	-1.28206634521484	-2.54302297690944	-0.0211097135202434	0.0430542326002643	PSNL.early.0_10-PSL.early.0_10
60	CCL2	-1.22389996846517	-2.31592044458315	-0.131879492347187	0.0161188714158419	PSNL.early.10_20-PSL.early.0_10
69	CCL2	1.14918327331543	0.0571627971974482	2.24120374943341	0.0310659995341972	PSL.early.10_20-PSNL.early.0_10
73	CCL2	1.36246644655863	0.225855498630823	2.49907739448644	0.00732795112202944	PSL.early.20_Inf-PSNL.early.0_10
94	CCL2	-1.09101689656575	-1.98264788161915	-0.199385911512356	0.00565009744793399	PSNL.early.10_20-PSL.early.10_20
101	CCL2	1.3327448103163	0.0202995368163048	2.64519008381629	0.0435509927766012	PSL.late.10_20-PSNL.early.10_20
103	CCL2	1.30430006980896	0.358582596038009	2.25001754357991	0.00103538739795406	PSL.early.20_Inf-PSNL.early.10_20
126	CCL20	-3.57274145805395	-6.75045633301196	-0.39502658309594	0.015988822575723	PSNL.early.10_20-PSL.early.0_10
133	CCL20	5.03483411403498	0.483616339207403	9.58605188886256	0.018997918086382	PSL.late.0_10-PSNL.early.0_10
145	CCL20	-5.34554192481706	-9.11921234939189	-1.57187150024224	0.000775598670326727	PSNL.early.10_20-PSL.late.0_10
147	CCL20	-6.82599946289857	-13.2623933653732	-0.389605560423914	0.0291138282016548	PSNL.late.10_20-PSL.late.0_10
160	CCL20	-3.94897909685926	-6.73601941101242	-1.1619387827061	0.000772457306034924	PSNL.early.10_20-PSL.early.10_20
169	CCL20	4.00770818934548	1.22066787519232	6.79474850349864	0.000613131300343128	PSL.early.20_Inf-PSNL.early.10_20
171	CCL20	4.09231924708059	0.318648822505768	7.86598967165541	0.0233329837729992	PSL.late.20_Inf-PSNL.early.10_20
188	CCL27	2.00560048421224	0.420045828498493	3.59115513992598	0.0036429369340043	PSNL.early.0_10-PSL.early.0_10
