variable	Difference	lwr	upr	p_adj	Groups
1	AIM2	-1.65466092427572	-2.9913536024525	-0.317968246098929	0.00673832464108082	PSNL.early.no-PSL.early.no
3	AIM2	-2.55586115519206	-4.94020699756019	-0.171515312823931	0.0281772216563834	PSNL.late.no-PSL.early.no
5	AIM2	-1.60205128079369	-3.08678307698427	-0.117319484603111	0.0265846583599813	PSNL.early.yes-PSL.early.no
10	AIM2	1.83996648435239	0.405579295976113	3.27435367272867	0.00448193918939077	PSL.early.yes-PSNL.early.no
19	AIM2	2.74116671526874	0.300710940970673	5.1816224895668	0.0183744071576357	PSL.early.yes-PSNL.late.no
23	AIM2	-1.78735684087037	-3.36061708536454	-0.214096596376189	0.0164692319448935	PSNL.early.yes-PSL.early.yes
31	CCL2	-1.13217941919963	-2.23861323350928	-0.0257456048899716	0.0413725992692946	PSNL.late.no-PSL.early.no
33	CCL2	-0.990212694803874	-1.80415738240718	-0.17626800720057	0.00739370975899045	PSNL.early.yes-PSL.early.no
38	CCL2	0.886439788035857	0.072495100432554	1.70038447563916	0.0236829849436715	PSL.early.yes-PSNL.early.no
47	CCL2	1.30684995651245	0.162031365819119	2.45166854720578	0.0148512829342533	PSL.early.yes-PSNL.late.no
51	CCL2	-1.1648832321167	-2.03028474276184	-0.299481721471556	0.0020642247522642	PSNL.early.yes-PSL.early.yes
53	CCL2	-1.21101633707682	-2.35583492777015	-0.0661977463834886	0.0309886934654477	PSNL.late.yes-PSL.early.yes
54	CCL2	1.19357523918152	0.0487566484881858	2.33839382987485	0.0352388673487642	PSL.late.yes-PSNL.early.yes
57	CCL20	-2.53754151782618	-4.71038974416289	-0.364693291489479	0.0119787780437292	PSNL.early.no-PSL.early.no
61	CCL20	-2.74487099619851	-5.27616257616313	-0.213579416233897	0.0249457727239588	PSNL.early.yes-PSL.early.no
63	CCL20	-3.07780517114134	-6.15067660180503	-0.00493374047764661	0.0493664745271563	PSNL.late.yes-PSL.early.no
64	CCL20	3.20479437073771	0.371746894082799	6.03784184739262	0.0166127368376906	PSL.late.no-PSNL.early.no
66	CCL20	3.28976853289596	0.942824210915358	5.63671285487656	0.00126983192724939	PSL.early.yes-PSNL.early.no
68	CCL20	3.18390313354893	0.111031702885238	6.25677456421262	0.0373533739851005	PSL.late.yes-PSNL.early.no
