variable	Difference	lwr	upr	p_adj	Groups
6	AIM2	2.01247197257148	0.292787307410915	3.73215663773204	0.0135954184229106	PSL.(15,Inf]-PSNL.(0,5]
10	AIM2	-1.82118627154638	-2.95681663262054	-0.685555910472214	0.000297788414862499	PSNL.(15,Inf]-PSL.(15,Inf]
25	CCL2	-1.00052768212778	-1.6176290749157	-0.383426289339849	0.000177943696079375	PSNL.(15,Inf]-PSL.(15,Inf]
27	CCL2	-1.01840253229494	-1.80505554321768	-0.231749521372212	0.00431383115389927	PSNL.(5,15]-PSL.(15,Inf]
28	CCL2	0.911259297971372	0.155467532025751	1.66705106391699	0.0095131355666439	PSL.(5,15]-PSNL.(15,Inf]
30	CCL2	-0.92913414813854	-1.82870628203565	-0.0295620142414302	0.0390554842345616	PSNL.(5,15]-PSL.(5,15]
33	CCL20	-3.09264428394815	-5.76214255241082	-0.423146015485477	0.0144913868780843	PSNL.(15,Inf]-PSL.(0,5]
40	CCL20	-3.09134076333774	-4.89859963451274	-1.28408189216275	8.27634123610199e-05	PSNL.(15,Inf]-PSL.(15,Inf]
42	CCL20	-2.3588675040627	-4.66152852380038	-0.0562064843250263	0.0417354415039441	PSNL.(5,15]-PSL.(15,Inf]
43	CCL20	3.57802061527653	1.211763307408	5.94427792314506	0.000592563252733158	PSL.(5,15]-PSNL.(15,Inf]
45	CCL20	-2.84554735600149	-5.6087405796867	-0.0823541323162789	0.0400807271897292	PSNL.(5,15]-PSL.(5,15]
46	CCL27	2.7456662495931	1.36752009044134	4.12381240874486	3.35659524597354e-06	PSNL.(0,5]-PSL.(0,5]
48	CCL27	1.95979961819119	0.858240152559129	3.06135908382325	3.39752982323471e-05	PSNL.(15,Inf]-PSL.(0,5]
50	CCL27	2.07588297526042	0.83363881478406	3.31812713573677	0.000106264062947448	PSNL.(5,15]-PSL.(0,5]
51	CCL27	-2.97463503590337	-4.07619450153543	-1.87307557027131	1.18950416183594e-09	PSL.(15,Inf]-PSNL.(0,5]
53	CCL27	-2.38073677486843	-3.59614744400657	-1.1653261057303	4.85129200333834e-06	PSL.(5,15]-PSNL.(0,5]
55	CCL27	2.18876840450146	1.46242160257938	2.91511520642353	4.6659232033619e-11	PSNL.(15,Inf]-PSL.(15,Inf]
57	CCL27	2.30485176157068	1.37893763241159	3.23076589072978	1.27886552458989e-08	PSNL.(5,15]-PSL.(15,Inf]
58	CCL27	-1.59487014346653	-2.48445966397227	-0.705280622960779	2.93478249415724e-05	PSL.(5,15]-PSNL.(15,Inf]
60	CCL27	1.71095350053575	0.652130185290163	2.76977681578134	0.000188177309185966	PSNL.(5,15]-PSL.(5,15]
78	CTLA4	-2.36903947007422	-4.59127923923776	-0.146799700910692	0.030457085843829	PSNL.(15,Inf]-PSL.(0,5]
85	CTLA4	-1.99489210166183	-3.36648826486551	-0.623295938458154	0.00105729872263138	PSNL.(15,Inf]-PSL.(15,Inf]
87	CTLA4	-2.11145288056018	-4.14585875865165	-0.0770470024687184	0.0377570623222208	PSNL.(5,15]-PSL.(15,Inf]
93	CXCL1	-3.12850028143989	-5.34251943031929	-0.914481132560481	0.00150572663859128	PSNL.(15,Inf]-PSL.(0,5]
95	CXCL1	-2.90171936580113	-5.41218110831675	-0.391257623285503	0.0147727116513908	PSNL.(5,15]-PSL.(0,5]
96	CXCL1	3.48613867936311	0.812456545222348	6.15982081350387	0.0041101871730076	PSL.(15,Inf]-PSNL.(0,5]
98	CXCL1	3.17674061104103	0.318454180442949	6.03502704163912	0.0212236056795119	PSL.(5,15]-PSNL.(0,5]
100	CXCL1	-3.90415000562314	-5.40304805513112	-2.40525195611517	6.08521599776424e-09	PSNL.(15,Inf]-PSL.(15,Inf]
102	CXCL1	-3.67736908998439	-5.58714204294207	-1.7675961370267	8.66699447976682e-06	PSNL.(5,15]-PSL.(15,Inf]
103	CXCL1	3.59475193730107	1.78701287213252	5.40249100246962	4.45806114734992e-06	PSL.(5,15]-PSNL.(15,Inf]
105	CXCL1	-3.36797102166231	-5.52863247056317	-1.20730957276145	0.000369757205705978	PSNL.(5,15]-PSL.(5,15]
111	CXCL10	1.95832577114395	0.147906857607003	3.76874468468091	0.0268097527465809	PSL.(15,Inf]-PSNL.(0,5]
115	CXCL10	-1.69072792895558	-2.92122229455017	-0.460233563360986	0.00212947100010097	PSNL.(15,Inf]-PSL.(15,Inf]
117	CXCL10	-1.93453679064904	-3.62276113245145	-0.246312448846627	0.015959641982482	PSNL.(5,15]-PSL.(15,Inf]
125	CXCL2	-1.80991394406273	-3.48178940448977	-0.138038483635694	0.0269595404054267	PSNL.(5,15]-PSL.(0,5]
126	CXCL2	2.0315524538358	0.435407485097045	3.62769742257456	0.00567529461250238	PSL.(15,Inf]-PSNL.(0,5]
130	CXCL2	-1.70365221897761	-2.8546487245499	-0.552655713405317	0.000883304600489132	PSNL.(15,Inf]-PSL.(15,Inf]
132	CXCL2	-2.46684925045286	-3.76075376788716	-1.17294473301856	1.42374857073913e-05	PSNL.(5,15]-PSL.(15,Inf]
135	CXCL2	-1.92579756464277	-3.40354065885194	-0.448054470433595	0.00435959285897869	PSNL.(5,15]-PSL.(5,15]
168	FOXP3	-1.98883546161097	-3.34293304420713	-0.634737879014818	0.0008361694742407	PSNL.(15,Inf]-PSL.(0,5]
170	FOXP3	-1.96959990036169	-3.48696386417135	-0.452235936552026	0.00420337030370521	PSNL.(5,15]-PSL.(0,5]
171	FOXP3	1.50270945702797	0.157187626196764	2.84823128785917	0.0201446470372697	PSL.(15,Inf]-PSNL.(0,5]
173	FOXP3	1.59566312167956	0.111075462299618	3.0802507810595	0.0282168481003433	PSL.(5,15]-PSNL.(0,5]
175	FOXP3	-1.83474457878617	-2.73490806850852	-0.934581089063816	2.10544886314334e-06	PSNL.(15,Inf]-PSL.(15,Inf]
177	FOXP3	-1.81550901753688	-2.94648534076586	-0.684532694307903	0.00021335404936329	PSNL.(5,15]-PSL.(15,Inf]
178	FOXP3	1.92769824343776	0.830490045615221	3.0249064412603	4.40697906517462e-05	PSL.(5,15]-PSNL.(15,Inf]
180	FOXP3	-1.90846268218847	-3.20178358778167	-0.615141776595279	0.000781691230152481	PSNL.(5,15]-PSL.(5,15]
201	IFNG	1.95832577114395	0.147906857607003	3.76874468468091	0.0268097527465809	PSL.(15,Inf]-PSNL.(0,5]
205	IFNG	-1.69072792895558	-2.92122229455017	-0.460233563360986	0.00212947100010097	PSNL.(15,Inf]-PSL.(15,Inf]
207	IFNG	-1.93453679064904	-3.62276113245145	-0.246312448846627	0.015959641982482	PSNL.(5,15]-PSL.(15,Inf]
222	IFNGR	-0.792524526538198	-1.51856797768667	-0.0664810753897221	0.0247015732530013	PSNL.(5,15]-PSL.(15,Inf]
225	IFNGR	-0.858885344655469	-1.71321835814524	-0.00455233116570108	0.048063998305266	PSNL.(5,15]-PSL.(5,15]
228	IL1b	-3.01477393521273	-5.38314048227314	-0.646407388152318	0.0056271222797174	PSNL.(15,Inf]-PSL.(0,5]
230	IL1b	-2.85489299806584	-5.4732207322755	-0.236565263856183	0.0253377571003836	PSNL.(5,15]-PSL.(0,5]
235	IL1b	-3.19275502966087	-4.68136662589357	-1.70414343342818	1.22407281333281e-06	PSNL.(15,Inf]-PSL.(15,Inf]
237	IL1b	-3.03287409251399	-4.89363858780486	-1.17210959722312	0.00020897293906641	PSNL.(5,15]-PSL.(15,Inf]
