variable	Difference	lwr	upr	p_adj	Groups
1	AIM2	-1.51103314293755	-2.55420361819276	-0.467862667682349	0.00199058878142733	PSNL.no-PSL.no
3	AIM2	-1.26931078875506	-2.40497095724923	-0.133650620260895	0.0231348770329998	PSNL.yes-PSL.no
4	AIM2	1.99045451000483	0.86614312187179	3.11476589813788	0.000138805077394832	PSL.yes-PSNL.no
6	AIM2	-1.74873215582234	-2.95934996311979	-0.538114348524894	0.00205475771781494	PSNL.yes-PSL.yes
7	CCL2	-0.701111634572348	-1.24537726314115	-0.156846006003545	0.00638353496555522	PSNL.no-PSL.no
9	CCL2	-0.893815926143101	-1.46728805861928	-0.320343793666926	0.00067552592421416	PSNL.yes-PSL.no
10	CCL2	0.993557543981643	0.412753049954401	1.57436203800888	0.000172670413024489	PSL.yes-PSNL.no
12	CCL2	-1.1862618355524	-1.79452088609552	-0.578002785009276	1.80176759169148e-05	PSNL.yes-PSL.yes
13	CCL20	-2.21105343509778	-3.82768116407567	-0.594425706119888	0.00351666450268262	PSNL.no-PSL.no
15	CCL20	-3.06218880799662	-4.82807754728666	-1.29630006870658	0.000156159562041069	PSNL.yes-PSL.no
16	CCL20	2.73445564204607	1.00516960529474	4.4637416787974	0.00059776186217475	PSL.yes-PSNL.no
18	CCL20	-3.58559101494492	-5.45516530401564	-1.71601672587419	2.92157234944579e-05	PSNL.yes-PSL.yes
19	CCL27	2.24816369802604	1.55546603642817	2.94086135962391	5.23926457773882e-11	PSNL.no-PSL.no
21	CCL27	2.18156992947614	1.45170057101163	2.91143928794064	4.96620189416319e-10	PSNL.yes-PSL.no
22	CCL27	-2.0757722253559	-2.81497362581205	-1.33657082489976	3.10578529560956e-09	PSL.yes-PSNL.no
24	CCL27	2.009178456806	1.23503509768022	2.78332181593179	2.76512238661653e-08	PSNL.yes-PSL.yes
31	CTLA4	-1.63267716055825	-2.93991111465144	-0.325443206465059	0.00888320145512989	PSNL.no-PSL.no
33	CTLA4	-2.20869970502275	-3.60777874285929	-0.809620667186214	0.000626745990272237	PSNL.yes-PSL.no
34	CTLA4	1.47471184433598	0.0988878172785397	2.85053587139342	0.0312735871170708	PSL.yes-PSNL.no
36	CTLA4	-2.05073438880049	-3.5141049149517	-0.587363862649281	0.00272199816688234	PSNL.yes-PSL.yes
37	CXCL1	-3.30680698818631	-4.65698735797177	-1.95662661840084	1.72791836394737e-07	PSNL.no-PSL.no
39	CXCL1	-3.84379711054792	-5.29384876966622	-2.39374545142962	2.39165982574008e-08	PSNL.yes-PSL.no
40	CXCL1	3.39639298121135	1.96431043826095	4.82847552416174	3.68491115843028e-07	PSL.yes-PSNL.no
42	CXCL1	-3.93338310357296	-5.4599882237599	-2.40677798338602	4.95727002780555e-08	PSNL.yes-PSL.yes
43	CXCL10	-1.50803512714996	-2.61011170356911	-0.405958550730811	0.00343971462203219	PSNL.no-PSL.no
45	CXCL10	-2.05451815681636	-3.22933573467286	-0.879700578959851	0.000129643126896561	PSNL.yes-PSL.no
48	CXCL10	-1.68749590329219	-2.92763019680795	-0.447361609776424	0.00365652643525505	PSNL.yes-PSL.yes
49	CXCL2	-1.43941689199871	-2.4307024649477	-0.448131319049727	0.00187411723688058	PSNL.no-PSL.no
51	CXCL2	-1.9507035392302	-3.03228477098173	-0.869122307478678	9.61394010261518e-05	PSNL.yes-PSL.no
52	CXCL2	1.66126316836757	0.622113533383942	2.70041280335119	0.000560426233732203	PSL.yes-PSNL.no
54	CXCL2	-2.17254981559905	-3.29816202130177	-1.04693760989634	3.13241557026167e-05	PSNL.yes-PSL.yes
67	FOXP3	-1.68404078506577	-2.47838081618311	-0.889700753948441	3.52625341260016e-06	PSNL.no-PSL.no
69	FOXP3	-1.85142093144699	-2.7063027069809	-0.996539155913086	2.24508033952464e-06	PSNL.yes-PSL.no
70	FOXP3	1.83929483219794	0.991627377848739	2.68696228654715	2.15504974820924e-06	PSL.yes-PSNL.no
72	FOXP3	-2.00667497857916	-2.91132235643828	-1.10202760072004	1.33227319842888e-06	PSNL.yes-PSL.yes
79	IFNG	-1.50803512714996	-2.61011170356911	-0.405958550730811	0.00343971462203219	PSNL.no-PSL.no
81	IFNG	-2.05451815681636	-3.22933573467286	-0.879700578959851	0.000129643126896561	PSNL.yes-PSL.no
84	IFNG	-1.68749590329219	-2.92763019680795	-0.447361609776424	0.00365652643525505	PSNL.yes-PSL.yes
88	IFNGR	0.646762890156069	0.0849316070819548	1.20859417323018	0.0178743585622065	PSL.yes-PSNL.no
90	IFNGR	-0.841253182093043	-1.42859052594742	-0.253915838238667	0.00200326384406047	PSNL.yes-PSL.yes
91	IL1b	-2.92958032803904	-4.45784200443815	-1.40131865163994	3.4115437774207e-05	PSNL.no-PSL.no
93	IL1b	-3.4631595478301	-4.8760379674669	-2.0502811281933	2.51583955002133e-07	PSNL.yes-PSL.no
94	IL1b	2.79434249872855	1.11880710582469	4.4698778916324	0.000306280881319232	PSL.yes-PSNL.no
96	IL1b	-3.32792171851961	-4.89892793429301	-1.75691550274621	5.46960971981036e-06	PSNL.yes-PSL.yes
97	IL1F6	-3.48220423779456	-4.82215297262745	-2.14225550296167	2.67016878607862e-08	PSNL.no-PSL.no
99	IL1F6	-4.65670613637046	-6.06855949994591	-3.24485277279501	3.80632192431563e-11	PSNL.yes-PSL.no
100	IL1F6	2.86800731476878	1.43810212490122	4.29791250463634	1.05132979008049e-05	PSL.yes-PSNL.no
102	IL1F6	-4.04250921334468	-5.54000584448253	-2.54501258220682	9.47884470914317e-09	PSNL.yes-PSL.yes
103	IL1RN	-0.71157517152674	-1.25800097329233	-0.165149369761152	0.00571818260836909	PSNL.no-PSL.no
105	IL1RN	-1.03572200593494	-1.6114702313052	-0.459973780564684	7.61631683517949e-05	PSNL.yes-PSL.no
106	IL1RN	0.791900684185722	0.208790995351545	1.3750103730199	0.00366448842239175	PSL.yes-PSNL.no
108	IL1RN	-1.11604751859392	-1.72672073021707	-0.505374306970779	5.81726775988889e-05	PSNL.yes-PSL.yes
109	IL22RA1	-0.519907604427718	-1.03585196976586	-0.00396323908957996	0.0475908019961842	PSNL.no-PSL.no
111	IL22RA1	-0.945388859158951	-1.48901994644178	-0.401757771876124	0.000135019535557834	PSNL.yes-PSL.no
114	IL22RA1	-0.904368350901081	-1.49196018681523	-0.316776514986936	0.000807918542444996	PSNL.yes-PSL.yes
115	CXCL8	-5.17937930425008	-8.21618423017939	-2.14257437832077	0.00026653317077896	PSNL.no-PSL.no
