variable	Difference	lwr	upr	p_adj	Groups
1	AIM2	-1.64896397363572	-3.17714644234088	-0.120781504930559	0.0300052968368256	PSNL.no-PSL.no
3	AIM2	-1.64311428372822	-2.90043153111185	-0.385797036344588	0.00594966234543493	PSNL.yes-PSL.no
4	AIM2	1.60173201979252	0.315421679375867	2.88804236020918	0.00939493512132095	PSL.yes-PSNL.no
6	AIM2	-1.59588232988502	-2.54461795943278	-0.647146700337273	0.000293679178392958	PSNL.yes-PSL.yes
7	CCL2	-0.976842255819411	-1.82575451754217	-0.127929994096655	0.0179103595538272	PSNL.no-PSL.no
9	CCL2	-0.84634033838908	-1.51597136094953	-0.17670931582863	0.00770593676733122	PSNL.yes-PSL.no
10	CCL2	1.03054352412148	0.325952029058157	1.7351350191848	0.00154358830998957	PSL.yes-PSNL.no
12	CCL2	-0.900041606691149	-1.37354224363653	-0.426540969745773	2.89909490976958e-05	PSNL.yes-PSL.yes
13	CCL20	-2.82345194920846	-5.24782191447399	-0.39908198394292	0.0163908555979714	PSNL.no-PSL.no
16	CCL20	3.88232841642356	1.81481876320101	5.94983806964612	4.23145198673591e-05	PSL.yes-PSNL.no
18	CCL20	-2.83972248100985	-4.22665011963264	-1.45279484238705	8.68556729616277e-06	PSNL.yes-PSL.yes
19	CCL27	2.01013972645714	0.947922578575933	3.07235687433835	3.14249142637779e-05	PSNL.no-PSL.no
21	CCL27	2.15836771329244	1.32047952744687	2.99625589913801	3.37445236198164e-08	PSNL.yes-PSL.no
22	CCL27	-2.03383432115827	-2.91546744398381	-1.15220119833274	5.2500399139177e-07	PSL.yes-PSNL.no
24	CCL27	2.18206230799357	1.58958588990608	2.77453872608107	1.83949522281068e-11	PSNL.yes-PSL.yes
31	CTLA4	-2.30917391512129	-4.24698587119826	-0.371361959044324	0.0135492460417272	PSNL.no-PSL.no
33	CTLA4	-2.09141803415198	-3.60368449371162	-0.579151574592346	0.00315339456369668	PSNL.yes-PSL.no
34	CTLA4	1.85571830991714	0.194736633279744	3.51669998655454	0.022956310491982	PSL.yes-PSNL.no
36	CTLA4	-1.63796242894784	-2.77404992457455	-0.501874933321119	0.00196383655534094	PSNL.yes-PSL.yes
37	CXCL1	-3.87653882162912	-5.83676134691183	-1.9163162963464	1.62567074473152e-05	PSNL.no-PSL.no
39	CXCL1	-3.28847927517361	-4.89786145183493	-1.67909709851229	8.7358504621271e-06	PSNL.yes-PSL.no
40	CXCL1	4.04872624268608	2.42175466738703	5.67569781798513	1.1755045425943e-07	PSL.yes-PSNL.no
42	CXCL1	-3.46066669623057	-4.64163034882977	-2.27970304363136	1.54048196421286e-09	PSNL.yes-PSL.yes
43	CXCL10	-2.43162532987405	-4.03493487534955	-0.828315784398542	0.00100709728281489	PSNL.no-PSL.no
46	CXCL10	2.87764590649507	1.52260202248961	4.23268979050054	3.7723537905654e-06	PSL.yes-PSNL.no
47	CXCL10	1.51173838875637	0.137473064063076	2.88600371344966	0.0257118825039719	PSNL.yes-PSNL.no
48	CXCL10	-1.36590751773871	-2.25299197037328	-0.478823065104136	0.000826234530134418	PSNL.yes-PSL.yes
51	CXCL2	-1.28416344192293	-2.52850583907933	-0.0398210447665321	0.0407578947436862	PSNL.yes-PSL.no
52	CXCL2	1.9454842083696	0.662875246112388	3.22809317062681	0.0011068511002762	PSL.yes-PSNL.no
54	CXCL2	-1.85418618848358	-2.70038530763106	-1.00798706933611	2.94562156377687e-06	PSNL.yes-PSL.yes
67	FOXP3	-2.05161923369431	-3.26668853576451	-0.836549931624114	0.00021433717407271	PSNL.no-PSL.no
69	FOXP3	-1.76724650488879	-2.73090103694385	-0.80359197283373	5.58383958563224e-05	PSNL.yes-PSL.no
70	FOXP3	2.03948014814927	1.03098076045778	3.04797953584075	9.19054586501211e-06	PSL.yes-PSNL.no
72	FOXP3	-1.75510741934374	-2.44016775485514	-1.07004708383234	4.13637861740312e-08	PSNL.yes-PSL.yes
78	IFIH1	-0.902465421676359	-1.74755420382833	-0.0573766395243896	0.0320154174147755	PSNL.yes-PSL.yes
79	IFNG	-2.43162532987405	-4.03493487534955	-0.828315784398542	0.00100709728281489	PSNL.no-PSL.no
82	IFNG	2.87764590649507	1.52260202248961	4.23268979050054	3.7723537905654e-06	PSL.yes-PSNL.no
83	IFNG	1.51173838875637	0.137473064063076	2.88600371344966	0.0257118825039719	PSNL.yes-PSNL.no
84	IFNG	-1.36590751773871	-2.25299197037328	-0.478823065104136	0.000826234530134418	PSNL.yes-PSL.yes
88	IFNGR	0.664286460751495	0.00748421358238249	1.32108870792061	0.0464627324671404	PSL.yes-PSNL.no
90	IFNGR	-0.662551063087375	-1.10653405220505	-0.218568073969699	0.00120846246379591	PSNL.yes-PSL.yes
91	IL1b	-3.06400411160856	-5.09559861258704	-1.03240961063008	0.00117413271507438	PSNL.no-PSL.no
93	IL1b	-2.0842407337827	-3.72415875287159	-0.444322714693809	0.00762572684122786	PSNL.yes-PSL.no
94	IL1b	4.1816151186784	2.49122631616411	5.87200392119269	2.03869868986573e-07	PSL.yes-PSNL.no
96	IL1b	-3.20185174085253	-4.39322456100251	-2.01047892070256	2.7980632699709e-08	PSNL.yes-PSL.yes
97	IL1F6	-4.10843179339455	-6.25173072906341	-1.96513285772568	2.48547299789292e-05	PSNL.no-PSL.no
99	IL1F6	-3.61886134412554	-5.30951834445214	-1.92820434379894	2.78657992980325e-06	PSNL.yes-PSL.no
100	IL1F6	4.12777017491636	2.34884640441279	5.90669394541993	4.58067658803962e-07	PSL.yes-PSNL.no
102	IL1F6	-3.63819972564735	-4.8336747552388	-2.44272469605591	2.91645818606412e-10	PSNL.yes-PSL.yes
106	IL1RN	1.13302069807809	0.439604431860281	1.82643696429591	0.000346267012317991	PSL.yes-PSNL.no
108	IL1RN	-0.931618014971415	-1.39760865780895	-0.46562737213388	1.12024870210226e-05	PSNL.yes-PSL.yes
114	IL22RA1	-0.792429216702878	-1.24775990787726	-0.337098525528493	0.000133399774472465	PSNL.yes-PSL.yes
115	CXCL8	-7.17098622851902	-11.3360491587364	-3.00592329830163	0.000233326883836371	PSNL.no-PSL.no
117	CXCL8	-4.25054121017456	-7.3266440467938	-1.17443837355532	0.00348740051993013	PSNL.yes-PSL.no
118	CXCL8	7.77754905488756	4.01010788186503	11.5449902279101	1.30951495053155e-05	PSL.yes-PSNL.no
120	CXCL8	-4.8571040365431	-7.36873148522479	-2.34547658786142	3.96421232924382e-05	PSNL.yes-PSL.yes
121	LCN2	-6.24068483179409	-9.45802496903564	-3.02334469455253	3.94615711588608e-05	PSNL.no-PSL.no
123	LCN2	-3.26272417424221	-5.44847638330035	-1.07697196518407	0.00150253540013612	PSNL.yes-PSL.no
124	LCN2	6.48982054017382	3.59327382669381	9.38636725365382	3.12936668345198e-06	PSL.yes-PSNL.no
126	LCN2	-3.51185988262194	-5.19001900024722	-1.83370076499666	1.09068779549082e-05	PSNL.yes-PSL.yes
133	PI3	-8.69795867932624	-11.4634485064169	-5.9324688522356	1.14099285575264e-10	PSNL.no-PSL.no
135	PI3	-7.49763221094784	-9.67908000513698	-5.3161844167587	2.28858043627156e-11	PSNL.yes-PSL.no
136	PI3	8.85956944168288	6.5642313959137	11.1549074874521	1.80474524213992e-11	PSL.yes-PSNL.no
138	PI3	-7.65924297330448	-9.20175950138006	-6.11672644522891	1.7945644970041e-11	PSNL.yes-PSL.yes
139	PYCARD	-1.07725917294792	-1.9058859720744	-0.248632373821429	0.00585867878769308	PSNL.no-PSL.no
141	PYCARD	-0.664202672154397	-1.32521818604291	-0.00318715826588245	0.0484773681267502	PSNL.yes-PSL.no
142	PYCARD	1.22461319397968	0.536858497091181	1.91236789086819	9.35167706930251e-05	PSL.yes-PSNL.no
144	PYCARD	-0.811556693186164	-1.2841301377034	-0.338983248668928	0.000167250404239927	PSNL.yes-PSL.yes
145	S100A8	-8.28041982125101	-10.8623708525478	-5.69846878995421	7.20636883499992e-11	PSNL.no-PSL.no
147	S100A8	-6.03388868045901	-8.08159806511241	-3.98617929580562	8.25215451527583e-10	PSNL.yes-PSL.no
148	S100A8	8.45103775931221	6.30803568554097	10.5940398330834	1.49710244201628e-11	PSL.yes-PSNL.no
149	S100A8	2.24653114079199	0.0930351151323485	4.40002716645164	0.0377173523295641	PSNL.yes-PSNL.no
150	S100A8	-6.20450661852021	-7.66021966859939	-4.74879356844104	1.49222856293818e-11	PSNL.yes-PSL.yes
151	S100A9	-8.19136823548212	-11.3335416063707	-5.04919486459351	2.79117965407139e-08	PSNL.no-PSL.no
153	S100A9	-6.64842367172242	-9.0236834761855	-4.27316386725933	3.9841850929534e-09	PSNL.yes-PSL.no
154	S100A9	8.4013347118949	5.73419233113831	11.0684770926515	1.2516832015308e-10	PSL.yes-PSNL.no
156	S100A9	-6.85839014813519	-8.55611042109079	-5.1606698751796	1.12506670646439e-11	PSNL.yes-PSL.yes
