variable	Difference	lwr	upr	p_adj	Groups
10	AIM2	-1.55557829993112	-3.07908734824663	-0.0320692516155996	0.0429312247645787	PSNL.II-PSL.II
12	AIM2	-1.87543183106642	-3.17578655306479	-0.575077109068062	0.00131450519920473	PSNL.III-PSL.II
15	AIM2	-1.68353743756938	-2.85500780417927	-0.512067070959492	0.0013767073156723	PSNL.III-PSL.III
25	CCL2	-0.867461571326624	-1.57935146993627	-0.155571672716975	0.00850783790913479	PSNL.II-PSL.II
27	CCL2	-0.884864062025896	-1.55356818265716	-0.216159941394637	0.00331641542739092	PSNL.III-PSL.II
28	CCL2	0.973381132142157	0.31277526418591	1.6339870000984	0.000789760075029844	PSL.III-PSNL.II
30	CCL2	-0.990783622841429	-1.60460614278102	-0.376961102901833	0.00019165315498304	PSNL.III-PSL.III
40	CCL20	-3.13583930853561	-5.36703938534407	-0.904639231727158	0.00163388197796721	PSNL.II-PSL.II
42	CCL20	-2.37586139705307	-4.40293684416934	-0.3487859499368	0.0129492029934969	PSNL.III-PSL.II
43	CCL20	3.33378894598018	1.31974948904478	5.34782840291558	0.000144456763706113	PSL.III-PSNL.II
45	CCL20	-2.57381103449764	-4.35906620383457	-0.788555865160716	0.00116211098589636	PSNL.III-PSL.III
51	CCL27	-2.45621808369954	-4.86751241095958	-0.0449237564395086	0.0435054400312671	PSL.II-PSNL.I
53	CCL27	-2.44519463291874	-4.83244753891484	-0.0579417269226434	0.0416909702200197	PSL.III-PSNL.I
55	CCL27	2.17229442107372	1.26091083140075	3.0836780107467	4.22118385801085e-08	PSNL.II-PSL.II
57	CCL27	2.13851203170478	1.28241621818038	2.99460784522917	1.15907515807478e-08	PSNL.III-PSL.II
58	CCL27	-2.16127097029292	-3.00699914886781	-1.31554279171804	6.05531591535424e-09	PSL.III-PSNL.II
60	CCL27	2.12748858092397	1.34165389955366	2.91332326229429	1.10121789465012e-09	PSNL.III-PSL.III
87	CTLA4	-1.92697441883576	-3.46312095299737	-0.390827884674154	0.00648011960902595	PSNL.III-PSL.II
88	CTLA4	1.70894145580253	0.154286464403678	3.26359644720139	0.0235080545329174	PSL.III-PSNL.II
90	CTLA4	-2.11855240194206	-3.60261094620133	-0.634493857682796	0.00136022427433569	PSNL.III-PSL.III
100	CXCL1	-3.74363398755717	-5.57054408427772	-1.91672389083663	2.34273583465949e-06	PSNL.II-PSL.II
102	CXCL1	-4.03167109693217	-5.62814004753408	-2.43520214633026	1.42282243764669e-08	PSNL.III-PSL.II
103	CXCL1	3.26197216245863	1.54199317501775	4.98195114989951	1.17582156031748e-05	PSL.III-PSNL.II
105	CXCL1	-3.55000927183363	-5.02291128010664	-2.07710726356063	4.89624419897083e-08	PSNL.III-PSL.III
117	CXCL10	-1.99625031729959	-3.35624974063797	-0.636250893961218	0.000873139033169101	PSNL.III-PSL.II
120	CXCL10	-1.75170551119983	-3.00644076999079	-0.496970252408861	0.00173180611777057	PSNL.III-PSL.III
