C001	C002	C003	C004	C005	C006	C007	C008	C009	C010	C011	C012	C013	C014	C015	C016	C017	C018	C019	C020	C021	C022	C023	C025	PL001	PL002	PL003	PL004	PL005	PL006	PL007	PL008	PL010	PL011	PL012	PL013	PL014	PL015	PL016	PL017	PL018	PL019	PL020	PL021	PL022	PL023	PL024	PL025	PL026	PL027	PL028	PL029	PL030	PL031	PL032	PL033	PL034	PL035	PNL001	PNL002	PNL003	PNL004	PNL005	PNL006	PNL007	PNL008	PNL009	PNL010	PNL011	PNL012	PNL013	PNL014	PNL015	PNL016	PNL017	PNL018	PNL019	PNL020	PNL021	PNL022	PNL023	PNL024	PNL025	PNL026	PNL027	PNL028	PNL029	PNL030	PNL031	PNL032	PNL033	PNL034	PNL035	VL001	VL003	VL004	VL005	VL006	VL007	VL009	VL010	VL011	VL012	VL013	VL014	VL015	VL016	VL017	VL018	VNL001	VNL003	VNL004	VNL005	VNL006	VNL007	VNL009	VNL010	VNL011	VNL012	VNL013	VNL014	VNL015	VNL016	VNL017	VNL018
AIM2	2.76550007883327	-0.0648340261286442	0.312332455759094	0.100666341755723	1.16866623001924	1.73966628575116	1.07233332007795	1.85966651069455	1.56883273645725	1.51966699646489	1.26633356077455	1.26533283101472	NA	2.48033301502999	1.45199967948874	NA	2.57900016214252	NA	1.79716587464999	1.12516723502819	3.61633364011511	1.83199978401531	-0.386666377639113	3.76366646702908	NA	2.55683353418295	1.89099992775021	NA	3.74366661862924	1.88866571869675	1.92633347767613	2.26033253485444	3.46999964262428	2.69033305693684	NA	3.05500055091242	2.14816652323121	NA	NA	NA	2.9913324522854	3.32099942179593	NA	3.12033302726578	3.85333281301994	4.50499944726863	5.81699910575323	3.40200010300643	3.78266625589523	6.37433273750365	3.88233276320583	4.86966608876191	4.10816704231108	4.23433269994086	2.85799950130388	4.84883337704661	2.80849893771794	NA	NA	1.89216639489558	2.15733416075965	0.834833356387675	NA	0.00733330449821597	1.86799962288131	NA	NA	NA	NA	1.99533255302658	2.67766631554647	NA	2.11100025403619	NA	2.01733295448966	NA	NA	1.36633284643191	1.70583240877756	1.96816707919508	1.20083388455689	2.48800051366915	1.81766664002918	NA	2.45483338060783	NA	2.30133361626893	2.46483291302034	3.46283302185288	0.536332457502253	1.87749965805703	NA	NA	1.81999918885937	2.44866656021904	2.8513332854899	3.73766610498366	0.844499746344418	2.35199969612983	1.93033200157433	NA	1.34999928992737	1.54933303660384	4.16783366244955	NA	1.87766612638805	2.78133369231762	1.83116503868936	3.19000020124967	3.288832048765	1.91324368087	NA	1.66333368809153	0.890333062594363	NA	1.98499904309513	NA	2.06733341966512	2.35166705296015	2.12116662727393	3.34349949803538	2.75783314788708	NA	NA	NA
CASP1	4.75700030405923	3.66333323261996	3.35433367078676	5.48166673797495	4.68400011807265	4.88400098866414	4.03833433250076	4.47333364458601	4.31900078420679	4.5800007251503	4.51099988443681	4.96066646162873	5.35266637658939	5.05433319876175	4.70800012609926	NA	4.50599950876543	4.10300070976505	4.08933288906378	4.57666603745779	5.28699976614629	4.15733399905509	5.07566654059538	5.04333269236941	3.97100030861432	4.8019997070168	4.66100024342583	4.19766617373996	5.45466709592053	4.06733290332424	4.79333398540269	3.89766726460265	4.75133292145518	4.09099989381567	2.17766717190882	4.86500006559913	4.15483414565732	NA	4.17000042036171	4.05433302509021	5.09633287266349	4.58649983470234	4.9259989914425	4.36800036001148	4.46433290597448	NA	4.85599995953643	4.6656668888938	4.80199908641944	4.79766557187822	4.80100030282576	4.52199967535749	5.02016702411378	NA	5.14400006064748	5.61683369371098	4.68799942276241	NA	4.10699999840183	4.81499956796601	5.0290009236873	4.0783325571767	4.33300052404973	NA	4.62366644111359	4.00799970531126	NA	4.47100037923432	4.12066654165722	4.55499999187086	4.7236668414459	NA	4.35166705296015	4.20166616463174	3.58866654994257	3.03583308534678	3.23333329494042	5.01066559103989	4.59599971049481	NA	NA	3.42866675365406	4.56699977063933	NA	4.40966736396911	4.16466746969571	4.22833347865861	NA	4.4239994893494	4.00133288515363	4.55100092354521	3.84866620185499	4.71933268651984	4.42366556365414	4.49300102476729	4.35700086022599	4.27566639325034	4.57599962565971	4.69100031365924	4.88933189446531	4.98299996131435	4.2120003970834	4.54966732269579	4.63966745338166	4.47066635694143	4.47166611116081	4.19399956085464	4.6529998079868	NA	NA	3.65024413018556	4.13399909601877	3.79666731236549	4.43566659429901	4.584666717919	4.77866644374136	4.4666662699863	4.8420007854078	5.236333415662	4.88133327036899	4.76466674666377	4.51000043502496	4.50766717008258	NA	4.35899960318605
CCL2	4.00066727245673	2.59433332352493	3.35266715334423	3.12600098881333	2.17266736113511	2.42100187820671	2.99566739940944	2.88833334353362	3.1380008399282	3.93200077423728	3.46266710054731	3.85733322889763	2.98766739858925	3.73600039692491	2.99000000662875	NA	3.91400053763548	3.99300031267374	3.61566771110957	2.44600022807579	4.43300021626698	2.99633432797678	3.40500037002486	5.33533382495349	4.13700070609848	3.71033444716575	5.33400058905625	4.48900034586407	5.54766624184603	4.48000047441792	3.78333438155996	4.00666713423949	5.7053340175422	4.25400098619007	NA	4.51900129586913	4.3968340872542	NA	4.90566729689483	3.75033412488251	4.27066640299145	4.8350006762444	4.28200055389899	5.12133437541914	5.56700037929339	4.65566729778425	4.85066697668137	4.70466771571621	4.90100003682866	4.3479998608352	5.18033375692707	5.06366760895421	5.86950111298393	4.72766717129964	5.3206669529706	5.12250040503048	4.27733390042982	4.89799977075385	3.00666785226095	3.50900041947336	5.54766750642006	3.5430002585386	4.60133395517601	2.78500077914396	3.82533362074187	3.7130009106782	NA	3.35466668697904	3.71633302909154	3.14966746428375	3.70166748392728	NA	4.00366753424234	3.1176671192697	3.12366768615651	NA	4.36833414846838	3.23233319713744	4.66333420049687	3.53933366135604	3.08233420550146	3.00433383212745	4.15933386808319	NA	4.05433432762625	3.71433476963849	4.79500103993753	4.37433466783503	4.36733401922464	4.02733322692365	3.95100050811167	3.2126670715151	4.65299957861393	3.99533363855371	3.64766782869593	3.51533411998419	3.23666726192608	3.24366664397994	3.31983409106113	3.36733346002605	3.93300092317769	4.5130008156471	5.42400137115926	3.11133417976294	3.47366679023995	3.44066655333202	4.1153345222749	3.12400018241225	3.12866755563925	4.08666710282198	3.80757800729189	4.08166728178444	2.41066781796157	2.21966696778415	3.41299974185884	3.57066693408245	3.53666715854983	3.46333472610459	4.85533425802262	3.51033370396884	3.38033450931643	3.70000040610921	3.5006672082968	NA	2.32033390200877
CCL20	-4.59483273629373	-5.76300017604538	-5.60249992748177	-4.91800023289973	-5.26266636010863	NA	-5.09499964164156	NA	NA	-4.93199922311756	-4.40500003969783	-5.22750061542074	NA	-3.71599992732172	NA	NA	NA	-6.2906662764282	-6.12866714648924	NA	-5.04733307315236	NA	-2.29466660978508	-1.78999995996943	-0.88166650196286	-2.53599961701408	0.0434999463685952	-2.75166638770519	-0.294666608015467	-2.46333345010789	-2.4073336922257	3.31400012965407	0.173666318573211	NA	-1.99416605736909	0.728000322563048	-1.55916658928361	NA	-0.228000323393654	-1.1440006900704	-0.213000296890763	NA	0.119666099058029	-0.793666521135782	-0.89266681617071	-0.63200028668255	0.601333300450863	-0.0739990871162137	1.42099984485478	-1.95600064761631	-0.482999483830334	0.506832441199307	0.640500386245774	-0.15633328794138	0.772665977374796	-0.607499759497479	-0.298000652958071	1.27799987796804	-1.88133271441492	-4.9146671134925	-0.503333091121749	-4.04100004153225	-1.53533331368938	NA	-4.96133296065655	2.95866680138978	NA	NA	-3.77650006684344	-5.4844996177018	-2.82133388645294	NA	-2.03299935408552	-3.13866647099805	-3.5919993787068	NA	NA	-4.53200117340905	-3.28099949739843	-2.64416662802718	-4.91633382152451	-3.43933359131873	-4.59783426508649	NA	NA	NA	0.469332695083303	-5.82199922318383	-2.64033349239586	-3.26233386473445	-2.99233277281719	-7.21600054349574	-1.48466714069952	-3.89900039926452	NA	NA	NA	-1.91500057312434	-4.37300077180112	-4.83800080080057	-6.3256677865574	-5.59333289995065	-2.94266668703489	-2.35166584589409	-6.43733173673637	-5.18066692032037	-3.03966682146448	-3.96566729585458	-4.32933337795921	-6.1214990734071	-5.58408976112748	NA	NA	NA	-6.04099932907648	-4.54133376882087	NA	-3.01899916074828	-5.80899937710773	-4.2706670971445	-5.03133288981507	-5.70399925254567	-4.71050034972734	NA	-4.14166716550346
CCL27	7.24733320855633	7.35699939761834	8.78466574343616	9.10800011958235	8.38733259855404	7.94299983955404	7.49133332552185	7.36266613049743	NA	NA	6.55616696731345	7.57399972242429	5.10033321352963	6.67733287848014	5.89766597720826	NA	6.81799984001367	7.06766668990004	6.42933305107963	7.46099948902515	8.41866715738826	7.26633421581369	5.7206665669531	7.32033252722446	4.59466677881921	5.52400034328528	4.29966667669491	4.27866651986904	5.11833272916153	3.53266730339944	6.32066698906951	6.69566691548193	4.40700053282739	5.9290003281032	NA	5.01366725979956	5.90383413661863	NA	6.61566641648757	4.5839997817617	5.05899957898346	5.80950062262462	5.59566596649957	5.07500029315862	5.0393331972381	4.68566604397991	5.92066607531917	5.19866701523745	4.9516661189447	3.60499881126194	5.59433326380182	4.28500042783736	4.02749999491133	4.6726669024463	4.22200000644631	5.85716663759476	4.15300028219025	6.45066674213305	5.57899937744621	7.53033352744719	7.15433338333865	7.17566580983222	7.23033301379577	7.20533337050876	8.09166619906562	6.70466713479421	NA	8.4766664637278	8.07966584269272	7.75566641397169	8.28966679561026	NA	7.11100042101837	7.42833295178634	6.49566686480419	NA	6.63966586180193	6.84699919851355	7.73699985776655	6.7223336347326	7.34766671918985	6.45266692197625	6.97966675328472	NA	6.36999980532562	7.26100061390284	7.43466667119468	7.64533390659979	6.83933293187264	6.64966618240971	6.95066611794574	7.85399976274248	8.30966601768603	6.97199985622966	6.35300034260201	7.96600055729123	8.57966708264763	7.82466603620963	7.49866646023296	7.63999969338001	8.0329993817063	7.20433334894801	7.31400011224633	7.7229999004469	7.55966663302313	6.3433326651675	5.96033307658531	7.82749939924286	8.79966641841316	7.18366594693258	6.51257724437435	7.721999190653	7.64000034433037	7.48033234283797	6.54899941259192	7.72999922717335	7.62799933843511	6.7430002819901	7.55866721320234	6.55566632659146	7.06433330994118	6.67566592485789	6.43666624121807	NA	7.51433280883066
CCL5	2.57733238329233	2.21233276104431	2.7436659724248	2.19333303433887	1.67599879641863	1.27900052287061	2.15733383735051	3.41966657111643	3.90966636187718	2.40266706527893	2.83966598126412	2.93933265987792	2.34633260262466	3.19266604195239	3.20099987695974	NA	2.8366658409803	1.73933313281039	2.72233355275377	2.21299912635845	4.22199977452152	1.98900054560804	1.02799974106394	2.50949975381232	1.53466724778131	2.34300011450887	1.54800005091661	2.36199962117721	3.23333268131363	2.61399998131452	3.53366687468811	1.80133334201888	3.16599938209089	4.79633329801317	NA	4.00666713423949	4.02250035732096	NA	2.91566697937491	2.53799972188182	2.37166618955507	4.8769998432037	4.00133288515363	6.09799924811142	4.11199921300478	4.34533278412574	4.05933286513334	4.38866711830579	4.853665964668	4.834333100885	5.30933348244106	3.60899961855803	5.02116650243977	4.13199964920726	4.80133344549954	4.9381665975755	3.00166607173207	4.42733349642334	3.29233326635342	1.30033344935472	2.51466665643957	2.84133312061441	2.69933285752853	0.809999635763743	3.65566598132607	1.67433318978899	NA	3.12433342928622	3.18799936397113	3.23366645574747	4.09133306374782	NA	2.62766683245267	3.26799999253405	3.69833406703313	NA	3.97866662567617	2.6143324563999	5.36733276102751	3.38899967159334	2.69349989290991	3.23833304228802	3.7106663856307	NA	3.48766680357075	3.99333416077782	3.58800026099553	3.52166651560628	5.51333332911761	3.19466562200278	4.63700010736994	4.07299961706872	3.24833262607244	3.31233248480555	3.67533393633621	3.29300019793762	3.11933293435467	4.56466576426396	5.47333302757824	3.43333272310508	3.96066636896812	3.48466586250616	3.14033351078765	2.15900069519559	3.22466683967688	3.0136652054779	2.24333334723977	2.9086663255507	3.26733368675644	3.1716654444133	2.4049099324342	6.12833310180096	2.49400053584642	2.81933280987793	4.62233318346075	1.87433271120931	2.30766633168335	3.39566704150341	3.69200039719863	2.91866711280355	5.14999930493891	2.48699928038471	1.11466619488827	NA	1.47833299611648
CTLA4	NA	NA	1.59633266161707	0.0756681662564833	0.823499923671314	1.2705008357165	0.301168531106274	2.71516744866075	2.82916640072301	2.65483282305204	1.84383313683428	NA	2.58416759725303	2.98516722399697	1.62850065860168	NA	3.44750091069764	2.79649995145806	NA	NA	2.75433468376116	2.92033427445527	2.71716685955509	NA	3.99683377995421	3.00750105482275	3.55083406771649	4.6320005940182	4.91916719659712	NA	3.66416741545552	3.36633396560483	4.77883404678163	4.60016661520826	NA	5.97050094221727	5.70300069667975	NA	2.06683351518843	NA	NA	4.84316697309283	4.61016657024016	4.65183320485071	6.52649942693143	7.00366655614984	6.64883295843886	6.28616777234237	7.39616648636009	6.55383237422492	5.72683396839315	6.92550086705028	7.40566730836607	6.62083371468782	6.80716641905988	5.65800031959497	4.86083346581961	6.65716616441271	4.88150056949912	2.16550004898016	3.35716756314152	1.50933353939333	3.76616663568597	NA	2.10849903166761	NA	NA	2.23216493702678	NA	1.9943346081513	NA	NA	3.65433436991238	2.7001653580441	3.12233411782215	NA	NA	2.26383337749607	3.78449948104397	3.68616679182144	3.34450087146696	3.11850109782397	3.39849977677712	NA	4.50050035551005	NA	6.31316692956566	3.66050083648396	6.17083359311062	3.56450011565451	4.49150084338027	3.62683357517295	5.20049984148637	NA	5.90100066455417	5.61316680767501	4.1178324910528	4.98249943830873	6.20650005299372	4.47583328145983	3.55949976697257	4.87583352434648	2.95516677805494	3.04916704447331	4.08050093654146	4.13050013800661	4.68916701927586	3.30216724190244	6.46816730928667	NA	3.5377438419469	5.06949995005416	3.72016746758173	3.54616672603669	5.17033386739403	4.01983328087675	NA	4.43883415992546	3.9975007116187	4.86383376205769	6.34350077719051	4.95650036162926	2.00583219251868	NA	NA
CXCL1	-7.16149934132894	NA	-10.8526671727498	NA	-11.320333480835	-10.3419990539551	-10.9728326797485	NA	-10.8536672592163	NA	NA	-10.6270004908244	-10.3298349380493	NA	-10.993000348409	NA	NA	-9.01999950408936	-11.9348338445028	NA	-8.96866671244303	-8.78099918365478	-10.4426654179891	NA	-5.16333294147833	-7.95766607655454	-4.74833265910352	-6.79466692376682	-5.17666657662248	-6.95433267517289	-9.25333306707975	-7.17666658184051	-4.25333309184245	-4.98533312311437	NA	-5.84866587011809	-6.10816574005448	NA	-8.09700042117242	-5.22566636598981	-4.91533311289987	-7.66966661507178	-7.69600008471508	-4.16799958579135	-5.56900056217138	-3.71466668459618	-4.17533397552009	-9.23899935665416	-5.51100063284469	-5.48666667775552	-4.65833314285213	-4.48566659392406	-5.61649958055185	-3.97799968637237	-5.27966658467556	-5.72516663959159	-6.6526664087937	-5.66166655497741	-8.60699909889253	-9.58833309896996	-8.34516587723112	-10.3093334952969	-9.5516666163047	NA	-10.2266665259855	-7.21766631221729	NA	-9.58833343214443	-11.472667812571	NA	-10.9253328286403	NA	-9.56333255663705	-10.763333211435	-7.8076658113215	NA	-8.12300014438468	-9.08116690646727	-9.01133378449558	-10.5103336966001	-10.4611661293909	-10.5680003763552	-10.8953334030954	NA	-10.324665948571	-9.96133323032855	-6.30166657881584	NA	-7.42699971685048	-9.75783385127692	NA	NA	NA	NA	-9.76133252029728	NA	NA	-10.0653340760836	NA	NA	-12.2503350778302	-9.34033301377735	-7.60083293555784	-9.34433270432208	-9.83150064325405	NA	-9.46900014489902	-10.2093331075826	NA	NA	-12.1512565015389	NA	-12.2158330364911	-10.493333113927	NA	-10.7253331729496	-9.53699901634183	-8.31266591871865	-8.67599903127131	NA	-8.27166652645658	NA	-9.9786660288228	NA	NA
CXCL10	2.20133368664952	0.0253324728747601	0.851999636389256	1.05399955454344	0.992665916031909	0.0813334912123447	0.768500677082916	-0.421167337944447	3.05133278818059	1.22766622870229	1.53916645582021	-0.78433457250917	1.88266660177744	NA	NA	NA	NA	1.16266662409451	NA	NA	2.28766664100583	-0.209833520769703	NA	2.97133286600639	3.58599948579477	3.83333301044648	4.98499965809351	3.17566618104829	4.50500011441907	4.071998915291	4.64266681505445	2.46166643136507	4.82166703556663	5.18533261765004	NA	3.9921661974015	3.53483327023753	NA	1.71666686052805	3.78599961090931	4.67566585711869	3.54266642945419	4.242332773717	6.12133312162903	4.39533265561856	3.67799981364364	3.73099930795719	2.83100063900309	5.36233234573425	5.34666601699179	4.49116706961226	4.28899923788281	4.98949940898396	4.77766577595795	4.24833265643644	4.26483249838712	3.91933282603959	4.3683328632026	1.64633337365217	2.62099870427222	5.09900061280237	0.0406656485094255	3.85599994957314	0.778999612529379	3.13966592853085	NA	NA	2.28849984193041	2.87616633520893	NA	2.68966643065116	NA	NA	2.4923327864122	2.43699996903955	NA	1.7216663312322	3.48133246366555	5.65066623770768	2.22799937644025	NA	1.57599991599684	-0.444667179660664	NA	4.68833383123882	1.27433365255288	4.06833362942648	1.27916685635731	2.72866663031746	3.89699903959696	4.25866667655415	1.96666556904771	1.42299968624032	2.45616530841918	5.71833387899596	4.55499998573348	6.20899931509898	1.16166592552477	7.01366583517246	5.56233247000805	5.62466589511448	1.35199958309505	1.06233312586228	NA	4.42133299374745	1.25450007735394	2.98599911220013	4.23449961146114	5.51350053301536	2.53466575390327	3.25357713192722	NA	1.06650035593333	-0.243666680324312	5.60999965773893	1.80383238661521	3.64866606032856	4.40033308923362	0.125667631070047	3.86733277396007	7.81766605363209	NA	-0.431333929928299	NA	NA
CXCL2	-5.11866728961152	-8.68733378565715	NA	-9.18116723572459	NA	NA	-7.5876661268983	NA	-7.1189997512095	-6.73300013667922	-6.31050012690398	-7.37949967901997	-6.03933361991261	NA	NA	NA	-7.94916637843896	-6.92033292616344	-6.98816676422542	-7.68716697248224	-5.90333337459409	-5.96999958981493	-8.08566615471402	-6.41600004788666	-4.94966665059482	-6.53033290497882	-3.90300019408453	NA	-4.64166672284727	-5.62600039790961	-6.95366636734315	-5.67799981371144	-4.14299933573829	-4.99666658871376	NA	-5.1483329329714	-6.09216565659174	NA	NA	-4.55766646896137	-4.08250013649876	-6.70366598041539	-5.62566728322569	-3.95449988175319	-4.66966787818678	-5.0836668143531	-3.89300061110113	-6.51366648901273	-4.92233434650001	-5.58800029610191	-4.0853331796608	-4.61866697084288	-4.8245004060538	NA	-3.60400041775799	-5.02116680778571	-5.01333362056933	-4.8440004801493	-5.97183354604225	-6.34916745754865	NA	NA	-8.11416635333456	-8.38950064043663	NA	-5.76866629788063	NA	NA	-8.17700086660776	-7.43533293696026	-7.65216663122087	NA	NA	NA	-5.47649954671625	NA	-6.77999970578203	-7.39566846798564	NA	-6.96366724105364	-7.80749929111737	NA	-6.17799986137188	NA	NA	NA	-4.95200029060689	-8.6124993905905	-7.05800084098132	-5.77466678099816	-6.01183316018855	-5.71033317805529	-6.257334694065	-7.62749965333232	NA	-7.83433242591389	NA	-8.33583415410376	-6.61300048161147	-8.6245004213514	-5.8556668015109	-7.50699992550118	NA	-7.60000021733003	NA	-6.54466657370329	-6.21766755769735	-7.51416617589907	NA	NA	-7.99858984906069	NA	-7.94366685643782	-7.42166716155583	-6.71466738730378	-9.20533337709322	NA	-5.92749947452101	-7.23249915168085	-7.46166682586578	-6.16433297951646	-6.59700043331723	-6.52849994185662	NA	NA
