C001	C002	C003	C004	C005	C006	C007	C008	C009	C010	C011	C012	C013	C014	C015	C017	C018	C019	C020	C021	C022	C023	C024	C025	PH001	PH002	PH003	PH004	PH005	PH006	PH007	PH008	PH010	PH011	PH013	PH014	PH016	PH017	PH018	PH019	PH020	PH021	PH022	PH023	PH024	PH025	PH026	PH027	PH028	PH029	PH030	PH031	PH032	PH033	PH034	PH035	PT001	PT002	PT003	PT004	PT005	PT006	PT007	PT008	PT010	PT011	PT012	PT013	PT015	PT016	PT017	PT019	PT020	PT021	PT022	PT023	PT024	PT025	PT027	PT028	PT029	PT030	PT031	PT032	PT033	PT034	PT035	VH001	VH003	VH004	VH005	VH006	VH007	VH009	VH010	VH011	VH012	VH013	VH014	VH015	VH016	VH017	VH018	VT001	VT003	VT004	VT005	VT006	VT007	VT009	VT010	VT011	VT012	VT013	VT014	VT015	VT016	VT018	km$cluster
CCL5	-0.579776186661598	-0.691779873578948	-0.518544483262728	-0.696870076374283	-0.812575538156878	-0.877110571690299	-0.706332676982349	-0.182456772692068	0.180890316688624	-0.636911196524093	-0.47985504656191	-0.436868938375179	-0.653911756895064	-0.313253181730517	-0.308806316897952	-0.481103523508842	-0.800536311499569	-0.52679772939426	-0.691600128495001	0.485869198851331	-0.74757733151363	-0.909643760254372	-0.511221781040805	-0.602790021849389	-0.837609676800227	-0.654896792847102	-0.835351369958954	-0.649250254943328	-0.291308608036726	-0.566877853214994	-0.108587131755983	-0.788227491869903	-0.327310893678376	1.25197442143162	0.268640845154078	0.28353265006674	-0.44734640819913	-0.593252343887883	-0.646348669971516	1.38612654380308	0.263660482568323	4.66986245598131	0.370853314277726	0.625695675387772	0.318814050443492	0.677732663654405	1.34654721525813	1.31423587961508	2.24812123484634	-0.0564704469497378	1.64538547430112	0.391118691718623	1.2600735588063	1.49296893587218	-0.408435466943266	0.725502411472617	-0.258350408794769	-0.874075657386264	-0.601074878697857	-0.479160181495381	-0.535560737136511	-0.933653188439479	-0.0227936511492695	-0.812885063795977	-0.348762136875957	-0.315732062499066	-0.29112591823873	0.35020649938111	-0.561985887709616	-0.272106683538144	0.00896569030973276	0.242701970874401	-0.566759380377472	2.384678924131	-0.201351949245874	-0.537760923932494	-0.288567309490185	0.0183213886302804	-0.139098354029819	0.256226737636643	-0.0712727850919121	-0.116640848567832	2.75374916846365	-0.312188580163197	1.00805239269487	0.332136127033176	-0.283056828733876	-0.246869317632552	-0.00827077350824577	-0.257970108723133	-0.351295166732409	0.90590096991596	2.64889131570573	-0.1739062461578	0.226290936138469	-0.141055208510204	-0.340597857600468	-0.705899727240212	-0.29603686009577	-0.402819628152533	-0.683329252065651	-0.450412952928177	-0.272480095688975	-0.324345661394984	-0.636220508618613	4.7920558404508	-0.607898358665336	-0.488265873974418	0.98692360610764	-0.773040434837376	-0.665202115664092	-0.197277976391302	0.00419174820429984	-0.446027626230378	1.90003895887733	-0.610187946675337	-0.899044257298423	-0.846924311581036	1
CXCL10	-0.463908710860568	-0.591487808658688	-0.563441978392455	-0.553778173674086	-0.556856722710507	-0.59005285191522	-0.567057842251215	-0.601137976740667	-0.332432331491697	-0.544316578044375	-0.524211199417571	-0.607058599579231	-0.496378824546444	-0.139067861490703	0.0820645736377936	-0.00919920982697605	-0.54799184748005	-0.619650033907979	-0.103193326262604	-0.453805391794113	-0.596940938533125	-1.02336239538371	-0.528072305428621	-0.348362028137489	-0.199954104640656	-0.119952939093914	0.500415311323303	-0.305853266100156	0.181121734889472	-0.028601097670779	0.262108774387148	-0.431509822594747	0.379657271159205	0.66846960241365	-0.060854453672644	-0.214860031165734	-0.510656628647771	-0.136342669164491	0.282697070909	-0.212612177000372	0.0464825927735615	1.85219227764796	0.121914238310898	-0.171785548209257	-0.154723843313165	-0.374257726341138	0.837664593863178	0.821837724152962	0.173403138642173	0.0686481187620074	0.50393951618146	0.349396061016359	0.0492923989026597	0.0570799691713211	-0.0887629593055997	0.108015011174668	-0.516227818022362	-0.408595735039474	0.593178473365966	-0.591100436276859	-0.111911790798054	-0.566614612382817	-0.313786126393673	-0.994849220840636	-0.453704908878062	-0.366196493574022	-0.528451245560138	-0.397912833990084	-0.45398397230893	-0.427294000169942	-0.434836385283748	-0.510250179936824	-0.229890903193614	1.16185525456694	-0.460852376574546	-0.401565933350771	-0.521533915887827	-0.601567819336455	0.290726630913801	-0.541573854334256	-0.0301213332644375	-0.541284695658086	-0.391615144618457	-0.0970424316900444	0.0541594063384642	-0.488503321484512	-0.532220792508328	-0.432256649302138	1.24779353658508	0.209646186869068	2.00755961292827	-0.548047145679286	3.97545015280618	1.0555683253059	1.12989190151576	-0.536807938974591	-0.553349691892066	-0.449194115528289	0.13554707012167	-0.542750356207469	-0.345507400650226	0.0428317859246389	0.999545571110348	-0.421325107628379	-0.287992108052215	1.66234699857028	-0.553134498075185	-0.597654867033343	1.11211455107171	-0.503364412402067	-0.180962723074606	0.124517083190172	-0.58887667421492	-0.107843823282692	7.40913453056906	-0.479509242190316	-0.6013247965218	-0.761968739053158	1
EOMES	-0.794994167352977	-0.668464317474455	-0.915135355378337	-0.979303367822386	-0.751011763645085	-0.629919168662194	-0.770175527109063	-0.298256809530966	0.210447807116187	-0.518264724208468	-0.62726733888037	-0.407757057806301	-0.240442543573465	-0.26285307803749	-0.129904181622488	-0.932867110780486	-0.58748554824587	-1.04502428857598	-0.103193326262604	-0.357540423466175	-0.62364939704898	-0.933924848745644	-0.856238008032086	-0.782996321482079	-0.929514094985107	-0.829791176830919	-0.947087750069835	-0.510371810308035	-0.655963608650391	-0.863866252640385	-0.0600017528614038	-1.06181865668859	-0.742083291368667	1.68507601451459	-0.442024911182915	0.306982070693292	-0.394758235552464	-0.587677426216235	-0.745574851186215	1.50494236663195	-0.0460835324533145	4.79548081215184	1.05222643306327	-0.0725473923379453	-0.0342103858584822	0.47818249067132	1.90690691156289	0.570930550594131	0.20951152762052	-0.518485823467022	2.39475991431742	0.4179567315467	0.291502190709285	0.778644571676343	-0.149764106480108	-0.11704055160394	-0.688532468954439	-0.866166402484548	-0.580788815483039	-0.483417691687791	0.142997207440078	-0.933653188439479	-0.471371987652282	-0.979957868555557	-0.427657230062951	0.485684637068546	-0.335220649758573	0.513745101787151	-0.467184839527124	-0.799962663407235	-0.313741055900257	0.509543621849344	-0.525570856261592	1.76722815403737	-0.439758582301231	-0.493825967339493	-0.149305085413947	-0.434877585276157	-0.424184470942893	-0.462565862552203	0.365183294580263	-0.417593445010412	3.59469170047411	-0.433570303840142	0.45994857838223	0.352702049027645	-0.573617845893493	-0.551276670167526	-0.0569982100089874	1.97744203222623	-0.335022087632078	1.46489186864509	0.739563076957474	-0.675851100317453	-0.196735863758861	-0.15387964197473	-0.0504637922666415	-0.749806065426646	-0.197063055810817	-0.124234847759543	-0.946952859394373	-0.246451494006272	0.560517473650771	-0.203418644843785	-0.311467700910519	0.610957546839653	-0.698930065801025	-0.400259433723889	1.19613972060063	-0.724882511772203	-0.432396230150291	0.0378858282149571	-0.149763663300669	-0.365918696612996	1.70342094961369	-0.751972215571231	-0.65931773626911	-0.761968739053158	1
IFNAR1	0.720302784003318	-1.08219217068464	-1.27644739283948	-1.44579939930085	-1.77354944483204	-1.79184103927431	-1.80641058652576	0.323806022405143	0.560076295271479	-0.320322597232222	0.303173160656833	0.264894099286643	0.562533662666964	0.758951185614402	1.24790037499363	0.600697637922284	0.0824471181073059	-0.274492974149435	0.825421528748497	1.6474763238987	2.22047614768618	2.94526061483678	2.43242902867285	3.88244816768772	-1.72686884358269	-1.2358245292268	-1.56488539039674	-1.91690441052139	0.893261244553358	-1.59085834927248	0.446128113374233	-1.09310684656121	-0.475891900716501	-0.664748215218248	-0.139735245433252	-1.20254436253775	-0.54763339070656	-1.22892164377741	0.113384496528452	1.16871200219182	-0.0376574104545521	-0.936120513600884	-0.637748607079903	-0.32877889173872	-0.342633840404661	0.191761182678694	-0.53824930945904	0.282689860159125	0.614239775430186	0.399228240121883	0.800717305566426	0.431978351599054	0.363562444738907	2.87246129586576	-0.402921220041409	0.100846447348744	-1.43091830835959	0.363562444738907	0.332882362367526	-0.96329503235434	0.322511430359677	-1.37788515636433	0.614239775430186	-1.05123248482273	-0.510726997424523	-0.626664850942066	-0.684737710095324	0.785980706002867	0.703358254791042	-0.709415569938306	-0.444199871713928	-0.308829702351213	-0.446549250816606	0.363563712207133	-0.347066430282673	-0.397641961388802	-0.0206887993459924	0.17454921767085	-0.132162122786242	0.438709368357081	0.190527682601695	-0.99684719772457	0.471909177560639	0.07653868822759	-0.160168354189233	0.270602522680384	0.253513755584053	-0.192597035724432	0.219657144346072	-0.789636422356566	0.0344067769457044	-0.137575226083456	-0.11912317016384	0.680655870924232	0.699683864405488	-0.870305958526632	-0.0939264088293623	0.491735169036633	-0.170318239738564	1.29728321849962	0.341986840124514	-0.321320348219289	0.197934006430237	-0.53376500687743	-0.144735407582617	-0.615085007740792	0.179456094158822	-0.131621674334914	0.328986672029811	1.28161832520775	1.07803909979928	-0.593446029715127	1.13350300235729	1.58693164821218	-0.17191575668991	0.0789007420125221	-0.447486163328852	0.9466333175521	1
IFNG	-0.463908710860568	-0.591487808658688	-0.563441978392455	-0.553778173674086	-0.556856722710507	-0.59005285191522	-0.567057842251215	-0.601137976740667	-0.332432331491697	-0.544316578044375	-0.524211199417571	-0.607058599579231	-0.496378824546444	-0.139067861490703	0.0820645736377936	-0.00919920982697605	-0.54799184748005	-0.619650033907979	-0.103193326262604	-0.453805391794113	-0.596940938533125	-1.02336239538371	-0.528072305428621	-0.348362028137489	-0.199954104640656	-0.119952939093914	0.500415311323303	-0.305853266100156	0.181121734889472	-0.028601097670779	0.262108774387148	-0.431509822594747	0.379657271159205	0.66846960241365	-0.060854453672644	-0.214860031165734	-0.510656628647771	-0.136342669164491	0.282697070909	-0.212612177000372	0.0464825927735615	1.85219227764796	0.121914238310898	-0.171785548209257	-0.154723843313165	-0.374257726341138	0.837664593863178	0.821837724152962	0.173403138642173	0.0686481187620074	0.50393951618146	0.349396061016359	0.0492923989026597	0.0570799691713211	-0.0887629593055997	0.108015011174668	-0.516227818022362	-0.408595735039474	0.593178473365966	-0.591100436276859	-0.111911790798054	-0.566614612382817	-0.313786126393673	-0.994849220840636	-0.453704908878062	-0.366196493574022	-0.528451245560138	-0.397912833990084	-0.45398397230893	-0.427294000169942	-0.434836385283748	-0.510250179936824	-0.229890903193614	1.16185525456694	-0.460852376574546	-0.401565933350771	-0.521533915887827	-0.601567819336455	0.290726630913801	-0.541573854334256	-0.0301213332644375	-0.541284695658086	-0.391615144618457	-0.0970424316900444	0.0541594063384642	-0.488503321484512	-0.532220792508328	-0.432256649302138	1.24779353658508	0.209646186869068	2.00755961292827	-0.548047145679286	3.97545015280618	1.0555683253059	1.12989190151576	-0.536807938974591	-0.553349691892066	-0.449194115528289	0.13554707012167	-0.542750356207469	-0.345507400650226	0.0428317859246389	0.999545571110348	-0.421325107628379	-0.287992108052215	1.66234699857028	-0.553134498075185	-0.597654867033343	1.11211455107171	-0.503364412402067	-0.180962723074606	0.124517083190172	-0.58887667421492	-0.107843823282692	7.40913453056906	-0.479509242190316	-0.6013247965218	-0.761968739053158	1
IL20RA	0.103652682833997	-0.609235902572501	0.0599365095685509	-0.882729078881661	-1.22577926774683	-1.05647803728074	-1.60281641699729	-0.452847155325147	-0.32824253648674	0.490486711507493	-0.642632293502692	-0.0531188337593337	0.603769866142823	-1.59759873613743	0.127753798569846	1.12605629366501	0.540882357921019	-0.50516705870592	0.691899569828715	1.24942054927464	2.25035413070449	4.60124418138794	0.755877099794785	3.68157381407622	-0.993983285611429	-0.814621333222269	-1.32421679854839	-1.34123937590625	2.19879439536318	-1.13331603606401	0.343500652504333	-0.505425144307897	-0.425913737712587	-0.906949470923726	-0.424945916705175	-0.861129896323641	-0.129536854874736	-0.957203328432917	0.0904160750219317	0.0408001942092686	-0.917621251708998	-1.09708693861891	-0.307624207798582	3.38180415254645	-0.797448120097577	0.0120309698617816	-0.707641798023759	0.632005871967889	-0.250309034950836	0.430797665949468	0.424400703836618	-0.170204281610959	-0.673832804876554	2.90563479839388	-0.589371201665223	0.400184946741225	-0.162632029449199	0.739444650468527	-0.882729115666952	-0.093925750319202	0.268635228168097	-0.958892876850647	0.608921241515574	-0.342816868799052	-0.701488722390542	-0.721700952334975	-0.0101053147307972	0.718795227340016	-0.351364850805799	-0.717735865813158	-0.454467584181002	-0.826208699901669	-0.514681978873096	-0.0700726961935196	-0.796111342620976	-0.367710946661328	0.213939546765136	-0.137794784861589	-0.714068556222356	-0.0960427438188827	-0.452035340737059	-0.671196954846674	0.87760468584257	-0.54398863632276	0.483174402604907	-0.505941425867724	0.0743836935223632	0.0560521115826424	-0.0123389176030932	-0.591755808157261	-0.000387376542340799	0.375561608621045	-0.443074811691234	0.720960409570967	0.260785982764762	-0.638434255770981	-0.0818673479879617	0.359009331209206	0.0972816175660436	1.52534639205859	1.63561508405595	-0.623999587170471	-0.182070848649396	1.19551383879403	1.01940260257458	-0.735133469213228	-0.194335064684037	0.299477487592465	0.37879632318915	1.74351848183908	0.192423462179587	-0.691427761363085	1.84937459424905	1.25939204847428	0.0665592781904847	-0.090034970085297	-0.146688916457076	0.3398692085723	1
IL22RA2	-0.966346706877927	-1.35525382311886	-0.880245066074542	-1.27995798902812	-1.39478403055459	-0.999835396324996	-1.05388917390723	-0.162204534839238	0.104117073439222	-0.509317180933029	-0.0813757352320784	-0.873162581736819	0.820882462345662	0.212133785052695	0.178356105181418	0.634924726466789	-0.425106636207223	-1.23829291780801	-0.773684804871195	1.67480272820388	0.151293678298218	-0.507258690457121	3.0617649913583	2.37883801509277	-0.967368271751564	-0.434345980625058	-0.8660389605545	-1.36929341571322	1.18785123554311	-1.0703771010691	1.03959024399792	-0.863274725301432	-0.157132528147207	-0.0635991527078759	-0.121228327639834	-0.771722219437926	0.182574183247366	-0.841809730241308	-0.160604398803667	-0.328057001667513	0.93340452326453	0.349404970122343	-0.193497671964701	3.19911027321245	2.22032260041644	0.491366139634502	-0.161709954387764	2.01994130435536	-0.111455121127007	0.268684238561282	1.4881262773075	0.0249672520566005	0.392195430061073	1.75161838722968	0.439346347907202	0.448633101342376	-0.451020119529074	0.0475987321304075	-0.27472060300141	-0.52374530890937	-0.654005500884825	-1.19629597213697	0.39055779951223	-0.959372055340411	-0.778498652911387	0.154853763932567	-0.391021411225659	0.294254752601712	0.0111220892183277	-0.314261127605322	-0.150265855946365	-0.172669518750542	-0.110877000996408	0.323430969143312	-1.21350030337698	-0.225070511061532	-0.915746084490918	-0.772984537816902	-0.755069424813185	0.0380632810305628	0.976944612725685	-1.13615359725248	0.927080145922095	-0.212656671551088	-0.238430087221757	-1.04197605244022	0.875957061566176	0.488316118357389	-0.563358002167324	-0.0229676057245691	0.316278041324103	0.615413392427248	0.904331225819005	0.0501117491366073	0.237279949667813	-1.1540849545378	0.103471331764269	-0.461234170345423	-0.0596535220366836	0.633217943576323	2.56691424454975	0.0442684593505025	0.202874182623434	1.21476605832983	-0.37906611839238	-1.22061636907948	-0.0498927708862457	-0.226666869898091	-0.244532242659685	-0.0164119072148053	-0.419525906965692	-0.86573277473495	0.364878338926556	0.345136438837881	1.76508170839335	-0.541807129313747	-0.397420713742937	1.17820956182507	1
KLRK1	-0.0693902914928646	-0.941370758939589	-0.4179841444366	-0.483860245133247	-0.543809834424137	-0.675304521630699	-0.962131411411317	-0.500886856593871	1.18769361710156	-0.126930739515145	-0.649708014102053	-0.718453041898263	-0.937733417968924	-0.309031417256865	0.0227148591987898	0.786908425253252	-0.590292663531405	-0.712502338421698	0.416886573546004	3.07837987090618	-0.996819906510724	-1.0961592711663	-0.910335095925298	-0.565679174809784	-1.16281537454	-1.1234605304832	-1.15328284548364	-1.16705995203571	-0.371639269289535	-1.13259846086208	-0.184757751997038	-0.705806166806975	-0.637970909314276	0.180182636054411	-0.25999264042933	-0.519427154887778	-0.703624276758278	-0.842852281811237	-0.119755301113034	0.68271865509136	-0.144740397863183	2.06498155478681	-0.302825125143015	0.798231293741463	0.819384795712449	0.525119314629445	0.435451591376524	-0.1708360143395	1.1532082420038	0.0661731556988505	0.749305709900165	0.0984822708425938	0.0884120908841589	2.77403091164317	-0.33515240696321	-0.156748210058624	-0.843925161950583	-0.934261350990479	-0.645432029974474	-0.799479069771198	-0.533761455206218	-0.688960804401704	-0.44594429100286	-0.921653280541471	-0.618032949012743	-0.135726968328093	-0.306601816528178	0.798842927789371	-0.346331213946239	-0.313390855958628	-0.337515892136105	-0.323729988825767	-0.684488704571836	1.68786005388043	-0.257226246585361	0.320295888502486	-0.181496302717377	0.268338521312302	-0.347384009306051	0.321850293235944	1.20778022479424	-0.457508230295256	1.44400946600409	-0.0728864856821039	2.01160210905341	-0.207801626713116	0.20167276396235	-0.451939234218715	0.81310236433026	2.05234545667755	0.84668950668045	0.443763827728814	1.53349616912498	0.208177415869372	1.20008063978353	-0.173030248843196	-0.543055307961807	-0.295598744349319	0.264957809762932	-0.474301715694831	-0.735113394278408	0.59134774336461	0.390006589651397	0.251874301115732	-0.13495418140263	-0.568489397638479	-0.614525622123172	-0.724935663840042	0.223829242104395	-0.883635648344723	-0.199590344636491	0.0684816849014758	0.263082838971769	-0.448788805589996	5.32824665304162	0.0227149956843796	-0.822985958414386	-0.761968739053158	1
MICB	-0.526893210713378	-0.942069179345823	-0.895579660696621	-1.10534409022516	-1.00698238340844	-1.09110281309464	-0.995430458305052	-0.524558845610935	-0.113532151258333	-0.172574145433512	-0.134032606873907	-0.247726165968314	0.354395222825258	-0.163998830479605	-0.0502991427928721	0.328587013397321	-0.0253432791283582	-0.783840965410655	-0.432689910932892	0.147039251508939	-0.0603431198973972	0.794019052121562	-0.0152646519056852	0.356550680174814	-0.276734907023527	0.153899314899993	-0.101423812829152	-0.36359832963406	0.432392088774538	-0.283319010902202	0.472074370509498	-0.763640339388851	0.218551210346351	1.51521008804866	0.200971783262163	-0.541262598995015	-0.592869927105606	-0.452358645855369	-0.443505579954403	0.498933963522383	0.288009603610204	0.0901078895304742	0.147349028279484	8.57514141060119	-0.415225167096887	0.199840523690573	0.561258447461437	1.25508159393445	0.0747098248841716	1.07911203749489	1.15700745952684	0.442982092026586	0.628826122849856	0.276882884956666	1.62786767932497	0.501681254318511	-0.0447102830220101	-0.100917143244396	0.71705565583276	0.107503120986603	0.137120910547087	-0.953500551309808	-0.317784461991967	-0.762329661348347	-0.301132856642841	-0.383533296892892	-0.4525314328731	0.147660627913387	-0.442456718520912	-0.316744469014708	-0.116538532223606	0.157030082717965	-0.613661875857954	1.07858496284056	-0.646415839012854	-0.342680878310923	0.0202744578449797	-0.0726441318406886	0.355113603846181	-0.293839053915704	-0.128975056771817	0.0219666957579334	0.848436615236659	-0.0736847982462367	-0.282260430149856	0.776401046756729	0.7841747575488	0.0218251959897414	0.0512502220953796	0.619979264112911	-0.276521828439841	-0.35447406566552	0.464753727690844	-0.425929995026172	-0.49362807585924	-0.595805302828769	-0.727221336637977	-0.599627265860682	-0.0705598761624836	-0.200649384020007	-0.707743177365314	0.96219302383108	0.297143799041179	0.754101246408556	-0.681786231715939	-0.468237160711312	-0.0470257251722494	-0.635436552246865	-0.0404636117120666	-0.294048895345495	-0.429050705666994	-0.822259932123749	-0.262775002995269	-0.413411166625897	-0.0770604268991204	-0.494279906653244	-0.720631842740924	-0.855780110704663	1
NLRP1	0.368184994325279	-0.862416232752343	-0.744055860084668	-1.15649809295344	-1.08089811447253	-0.702662091176693	-0.887285098142042	-0.0607239374532893	0.178643697943327	-0.574072021964468	0.0042077987846162	0.193255539014982	0.0628329710520183	0.463142855509996	-0.0154299865689205	1.31795501888895	0.358160433535008	-0.267297653146977	0.134015905901141	2.06640630480915	0.232162480535012	0.178249988721736	0.0816350707260705	0.397693784408502	-0.898501064648477	-0.696762903451669	-1.02579713115859	-0.975855318010903	-0.312043518711609	-1.19523431947501	-0.0536100526685331	-0.960982994647328	-0.662855987847688	-0.0111565214321471	-0.585408781560684	-1.02894830282781	-0.610635191546603	-0.844148901091148	-0.547948744035757	0.81949651672174	-0.483122342740111	-1.12779988160178	-0.882565297296077	3.38180415254645	-0.720109073241489	-0.513667802397232	-0.624863040285533	-0.299384011272234	-0.00984430090606141	-0.319576550660563	-0.316373732265705	-0.00283481072565916	-0.216981461358324	1.94933837316201	0.612123649271543	0.982074202425449	0.122568232794379	0.307556623251129	-0.272798733367844	-0.683674371838342	0.339910527307433	-0.705312804941811	1.65120154827423	-1.06455401985016	-0.277990316058327	1.47475943963266	-0.584107938393223	1.15167852620631	0.107992985250236	0.0808933147276617	0.308826250851721	-0.366208936618378	-0.37420248383299	0.272364409533968	0.0703641289593968	0.348621138459195	0.237443539918112	-0.111524722611394	-0.362727991039087	-0.0306804713496892	0.00209147526341713	-0.430143447344046	0.636937063065138	-0.267588275049188	-0.128063360420607	0.693568847729416	1.59018267156568	0.675712710595624	-0.0324045561783244	0.138234083787282	1.00972186749591	-0.0289564063340529	-0.641317746295623	0.316460853828411	0.632449177791237	-0.360311811654183	0.0771909359248936	0.162207639264418	0.0619175497909973	-0.227802158929404	-0.334501853458667	-0.069988289271821	-0.000885115521771243	0.354250787394634	-0.314913636663979	-0.342441222319919	0.100283614339538	-0.684837639641834	-0.519947769482126	0.440326530683584	0.190481474250226	-0.151081978339349	0.841730945705915	0.100658631837268	-0.274820717095133	-0.380820418395982	-0.323186972211695	-0.0291292456287482	1
