Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
IL1F6	4.20128534869655	15.4445125515365	7.89870556752978	1.71323098532766e-11	6.71853134819512e-10	15.7082791887402
IL22RA1	1.91308753054961	10.9263175124264	7.93026371616254	3.19930064199768e-11	6.71853134819512e-10	15.225254004879
IL1RN	1.55381900311617	13.378547126227	7.27271597579035	2.367450308104e-10	3.31443043134561e-09	13.1039618207737
TNF	1.20687528440184	11.3589089170997	7.13843718411744	5.08872096580424e-10	5.34315701409445e-09	12.3674773879292
CCL20	3.72749227784017	5.19585177339516	6.64485465310162	2.14800693661701e-08	1.80432582675829e-07	8.98576730125987
CXCL10	2.69849947702102	10.2324310076221	5.99904781219459	1.70617557734025e-07	1.02370534640415e-06	6.89934192508806
IFNG	2.69849947702102	10.2324310076221	5.99904781219459	1.70617557734025e-07	1.02370534640415e-06	6.89934192508806
CTLA4	2.4654288152299	11.4708099826463	5.7746493155372	4.11304192632017e-07	2.15934701131809e-06	6.04595775800597
CXCL1	3.98687225661053	-0.759747803671234	5.07446208339422	4.42415681640093e-06	2.06460651432043e-05	3.77599199735495
MICB	1.19552791421154	4.31753385003489	4.9799530834019	5.5206683583559e-06	2.10789155500862e-05	3.4407640461787
PI3	5.27891565426057	8.1034788203865	4.94529327909343	5.24836591557435e-06	2.10789155500862e-05	3.36657270711765
IL22	5.20373848576142	0.863130098999166	5.1393696869097	7.56307087152079e-06	2.64707480503228e-05	3.30434043743945
EOMES	2.03182632690781	8.44921417889361	4.91320939608041	1.34110991245149e-05	4.02332973735447e-05	2.86070651643687
CCL2	1.03831735979956	11.3624802235973	4.68316259091204	1.17249654213587e-05	3.78806575151589e-05	2.51273327320589
IL10	1.41429583325507	6.73243968794476	4.6713475953371	1.81895872047167e-05	4.77476664123814e-05	2.23707418269947
IFNGR	0.627263859040187	7.25764949907822	4.61373761870645	1.64980402123786e-05	4.61945125946601e-05	2.23309713539296
IL17A	9.24899207347685	-5.00017232351223	4.57917287977515	3.31839970129954e-05	7.74293263636559e-05	1.76220010859462
CCL5	1.13076149037533	10.5647813548816	4.44566597913866	3.02392587988499e-05	7.47087570324527e-05	1.63003890260269
FOXP3	1.41005011932571	12.0511922839945	4.39987181879693	4.04078792786124e-05	8.93226805106168e-05	1.47160772546904
S100A9	4.68471941546878	13.1174935351203	4.14756448300152	8.960318801527e-05	0.000188166694832067	0.639896884656835
IL17F	3.44320575657245	1.6074257475327	4.04576546016484	0.00022459986936463	0.000449199738729261	0.00135624305050364
AIM2	1.79554744089382	10.0745046936107	3.95836684949556	0.000285230133807192	0.000544530255450093	-0.164272898112506
IL22RA2	1.46254140931934	10.9022923997492	3.62758094484565	0.00108622993587657	0.00198355031768766	-1.21749509110959
CXCL2	1.5186559506937	1.3664912394547	3.059840219466	0.00384652075837166	0.00646215487406439	-2.56054792044111
LCN2	2.50776379674577	1.14753716312094	3.05354513322711	0.00405937267937723	0.00655744817437861	-2.73395216374424
S100A8	3.17384696425572	12.9430800777403	3.02451417200058	0.00346433305588289	0.00606258284779505	-2.81553855486681
CXCL8	5.87272949857614	1.92521065424026	2.21715090627496	0.0330055488742729	0.046207768423982	-3.9226854310492
