groups	lower	r	upper	p	adj.pval	gene
PL-SEB	PL-SEB	-0.497241032771371	-0.117391304347826	0.300222522818956	0.584865514360063	0.701838617232076	AIM2
PL-PMA	PL-PMA	-0.595639182815913	-0.25304347826087	0.167445555858883	0.232863565304954	0.349295347957432	AIM2
PL-72h	PL-72h	-0.464862291548348	-0.0756521739130435	0.338061440126216	0.725335122330957	0.725335122330957	AIM2
SEB-PMA	SEB-PMA	0.250507277519901	0.546791443850267	0.749420421866046	0.00099281678058194	0.00595690068349164	AIM2
SEB-72h	SEB-72h	0.126598284314318	0.445683728036669	0.68118470738456	0.00825085688423699	0.024752570652711	AIM2
PMA-72h	PMA-72h	-0.0825308809126961	0.268382352941176	0.560086094753701	0.131004306618778	0.262008613237557	AIM2
PL-SEB1	PL-SEB	-0.694802530821896	-0.413076923076923	-0.02144651239399	0.0401374781593793	0.0602062172390689	CTLA4
PL-PMA1	PL-PMA	-0.833199869356372	-0.653076923076923	-0.347659986958339	0.000401281610796111	0.00120384483238833	CTLA4
PL-72h1	PL-72h	-0.586753889127184	-0.230237154150198	0.201045053340308	0.290564282427289	0.290564282427289	CTLA4
SEB-PMA1	SEB-PMA	0.179737012695101	0.492647058823529	0.715023937552767	0.00358427111444959	0.00716854222889918	CTLA4
SEB-72h1	SEB-72h	0.507548332638297	0.724598930481283	0.855173763122439	1.86024217985192e-06	1.11614530791115e-05	CTLA4
PMA-72h1	PMA-72h	-0.0731096651503518	0.288709677419355	0.583370196789604	0.115218627622501	0.138262353147001	CTLA4
PL-SEB2	PL-SEB	-0.589237542093882	-0.223037831733484	0.219181243071644	0.318416750087815	0.756787616464223	EOMES
PL-PMA2	PL-PMA	-0.401627775895437	0.0363636363636364	0.460816653774209	0.875649630138323	0.875649630138323	EOMES
PL-72h2	PL-72h	-0.564061243079297	-0.186900056465274	0.254785111312435	0.404932872442812	0.756787616464223	EOMES
SEB-PMA2	SEB-PMA	-0.237754901616692	0.120967741935484	0.450652849389528	0.509574726554085	0.756787616464223	EOMES
SEB-72h2	SEB-72h	0.574086233442108	0.761624649859944	0.873236181963579	1.07510775615438e-07	6.45064653692629e-07	EOMES
PMA-72h2	PMA-72h	-0.423976602635629	-0.0883431085043988	0.268625801295526	0.630656347053519	0.756787616464223	EOMES
PL-SEB3	PL-SEB	-0.419449621285782	-0.0625615763546798	0.311076836060489	0.747149015654342	0.747149015654342	FOXP3
PL-PMA3	PL-PMA	-0.645646914922951	-0.359058565955118	0.0161866720494173	0.0605920205717752	0.181776061715325	FOXP3
PL-72h3	PL-72h	-0.448284715685551	-0.090311986863711	0.292624429910129	0.647646484880165	0.747149015654342	FOXP3
SEB-PMA3	SEB-PMA	-0.187317138734278	0.172653958944282	0.491743312459914	0.344688169392867	0.689376338785734	FOXP3
SEB-72h3	SEB-72h	0.189591156379818	0.500334224598931	0.719973858646842	0.00302465507464023	0.0181479304478414	FOXP3
PMA-72h3	PMA-72h	-0.294016890322719	0.0673387096774194	0.411851715488154	0.718901175184145	0.747149015654342	FOXP3
PL-SEB4	PL-SEB	-0.697517615197494	-0.356140350877193	0.116994177443096	0.134505741826047	0.201758612739071	IFIH1
PL-PMA4	PL-PMA	-0.535257365272719	-0.0735294117647059	0.422030558676271	0.779127287251723	0.779127287251723	IFIH1
PL-72h4	PL-72h	-0.64741357385141	-0.273684210526316	0.206151785803973	0.256883196045006	0.308259835254007	IFIH1
SEB-PMA4	SEB-PMA	0.335894091804003	0.657114624505929	0.841409257729345	0.000657765040689373	0.00197329512206812	IFIH1
SEB-72h4	SEB-72h	0.590617255948727	0.799230769230769	0.907707073335509	1.65516327488291e-06	9.93097964929746e-06	IFIH1
PMA-72h4	PMA-72h	0.133720548344636	0.525691699604743	0.775435644636548	0.0119809302690261	0.0239618605380523	IFIH1
PL-SEB5	PL-SEB	-0.576994501776294	-0.193506493506494	0.259889986819768	0.400658588380703	0.730747946597881	IL10
PL-PMA5	PL-PMA	-0.338988076543272	0.121804511278195	0.535463272784341	0.608956622164901	0.730747946597881	IL10
PL-72h5	PL-72h	-0.0367310979858467	0.424561403508772	0.73670474435442	0.0700151890765606	0.319693865315378	IL10
SEB-PMA5	SEB-PMA	-0.444113053849033	-0.112903225806452	0.245453940466362	0.53839688472732	0.730747946597881	IL10
SEB-72h5	SEB-72h	-0.335916979535444	0.00835561497326203	0.350658727384121	0.963191253699734	0.963191253699734	IL10
PMA-72h5	PMA-72h	-0.0669639857132687	0.30055617352614	0.59626151964326	0.106564621771793	0.319693865315378	IL10
PL-SEB6	PL-SEB	-0.627822854035002	-0.21078431372549	0.300282818533421	0.416749848551334	0.668136535751301	IL17A
PL-PMA6	PL-PMA	-0.677354431286691	-0.291666666666667	0.219790037709829	0.2560026072263	0.668136535751301	IL17A
SEB-PMA6	SEB-PMA	-0.468096249997898	-0.129699666295884	0.241871433921772	0.494541947671974	0.668136535751301	IL17A
SEB-72h6	SEB-72h	-0.653277394601127	0.0952380952380952	0.749603830671539	0.822505430203611	0.822505430203611	IL17A
PMA-72h6	PMA-72h	-0.595463409094683	0.285714285714286	0.854844511711495	0.534509228601041	0.668136535751301	IL17A
PL-SEB7	PL-SEB	-0.94057475214432	-0.642857142857143	0.213612799012384	0.119392373427411	0.358695759463355	IL17F
PL-PMA7	PL-PMA	-0.995600250466586	-0.8	0.696953445299322	0.2	0.358695759463355	IL17F
SEB-PMA7	SEB-PMA	-0.321040866961962	0.188725490196078	0.613701447627072	0.468192284279852	0.585240355349815	IL17F
SEB-72h7	SEB-72h	-0.635214701551528	0.05	0.691170636739774	0.89835280435063	0.89835280435063	IL17F
PMA-72h7	PMA-72h	-0.364318743922416	0.535714285714286	0.918305805566328	0.215217455678013	0.358695759463355	IL17F
PL-SEB8	PL-SEB	-0.908987379218959	-0.371428571428571	0.630054463597939	0.468478134110787	0.562173760932945	IL22
PL-PMA8	PL-PMA	-0.279640041969355	0.8	0.986196193301271	0.104088038661828	0.312264115985484	IL22
PL-72h8	PL-72h	-0.476621313746714	0.7	0.978164956044964	0.188120404374188	0.376240808748375	IL22
SEB-PMA8	SEB-PMA	-0.377134136292719	0.011965811965812	0.397475459877691	0.953736626613544	0.953736626613544	IL22
SEB-72h8	SEB-72h	-0.221332022207782	0.210032128971859	0.572656194022689	0.336103046725484	0.504154570088226	IL22
PMA-72h8	PMA-72h	0.246538981814518	0.612987012987013	0.82607828665674	0.00313057757061297	0.0187834654236778	IL22
PL-SEB9	PL-SEB	0.0442016491954187	0.410509031198686	0.679516954001391	0.0300186449525799	0.0900559348577397	PYCARD
PL-PMA9	PL-PMA	0.107183589375949	0.524812030075188	0.78501966471428	0.0175087416588737	0.0900559348577397	PYCARD
PL-72h9	PL-72h	-0.292119730966094	0.0908593322386426	0.44872557637155	0.645648592126034	0.774778310551241	PYCARD
SEB-PMA9	SEB-PMA	-0.132614311705332	0.286086956521739	0.61814562084056	0.175340393883469	0.263010590825204	PYCARD
SEB-72h9	SEB-72h	-0.0467436508239601	0.291036414565826	0.569088811174511	0.0898474332295658	0.179694866459132	PYCARD
PMA-72h9	PMA-72h	-0.427859061173464	-0.0295652173913043	0.378343814189923	0.890922604376704	0.890922604376704	PYCARD
