groups	lower	r	upper	p	adj.pval	gene
SEB-PMA	SEB-PMA	0.250507277519901	0.546791443850267	0.749420421866046	0.00099281678058194	0.00595690068349164	AIM2
SEB-72h	SEB-72h	0.126598284314318	0.445683728036669	0.68118470738456	0.00825085688423699	0.024752570652711	AIM2
PL-PMA1	PL-PMA	-0.833199869356372	-0.653076923076923	-0.347659986958339	0.000401281610796111	0.00120384483238833	CTLA4
SEB-PMA1	SEB-PMA	0.179737012695101	0.492647058823529	0.715023937552767	0.00358427111444959	0.00716854222889918	CTLA4
SEB-72h1	SEB-72h	0.507548332638297	0.724598930481283	0.855173763122439	1.86024217985192e-06	1.11614530791115e-05	CTLA4
SEB-72h2	SEB-72h	0.574086233442108	0.761624649859944	0.873236181963579	1.07510775615438e-07	6.45064653692629e-07	EOMES
SEB-72h3	SEB-72h	0.189591156379818	0.500334224598931	0.719973858646842	0.00302465507464023	0.0181479304478414	FOXP3
SEB-PMA4	SEB-PMA	0.335894091804003	0.657114624505929	0.841409257729345	0.000657765040689373	0.00197329512206812	IFIH1
SEB-72h4	SEB-72h	0.590617255948727	0.799230769230769	0.907707073335509	1.65516327488291e-06	9.93097964929746e-06	IFIH1
PMA-72h4	PMA-72h	0.133720548344636	0.525691699604743	0.775435644636548	0.0119809302690261	0.0239618605380523	IFIH1
PMA-72h8	PMA-72h	0.246538981814518	0.612987012987013	0.82607828665674	0.00313057757061297	0.0187834654236778	IL22
