groups	lower	r	upper	p	adj.pval	gene
PL-SEB	PL-SEB	-0.442789120259633	-0.047958794802836	0.362450025388304	0.823897933599634	0.823897933599634	AIM2
PL-PMA	PL-PMA	-0.547255531897134	-0.184614524021026	0.23638657770889	0.387807893818598	0.581711840727897	AIM2
PL-72h	PL-72h	-0.496048808585525	-0.115830247669173	0.301661771504186	0.589902550324712	0.707883060389655	AIM2
PL-SEB1	PL-SEB	-0.671227321070042	-0.37575521898075	0.0227540269999546	0.0641567341641043	0.088988215089281	CTLA4
PL-PMA1	PL-PMA	-0.828181853422356	-0.643693306969769	-0.333346896105451	0.00051716329989282	0.00155148989967846	CTLA4
PL-72h1	PL-72h	-0.622839886518899	-0.283395533708934	0.145843538685057	0.190066670213555	0.190066670213555	CTLA4
PL-SEB2	PL-SEB	-0.575322803693272	-0.202939573258947	0.239128999055961	0.365049767992085	0.730099535984171	EOMES
PL-PMA2	PL-PMA	-0.173063323163197	0.279505039894192	0.634619499653312	0.219799537283106	0.659398611849317	EOMES
PL-72h2	PL-72h	-0.499617231897859	-0.0988257147606369	0.336816443916151	0.661712434052089	0.794054920862506	EOMES
PL-SEB3	PL-SEB	-0.373471086690191	-0.00807002848824122	0.359498943425962	0.966859516039173	0.966859516039173	FOXP3
PL-PMA3	PL-PMA	-0.659547753238454	-0.379966049794096	-0.00802700134151983	0.0461040116570661	0.138312034971198	FOXP3
PL-72h3	PL-72h	-0.447709283032124	-0.0895978904470221	0.29328256688718	0.650256636970036	0.780307964364044	FOXP3
PL-SEB4	PL-SEB	-0.67331203083992	-0.315630224289256	0.161770889286509	0.188056344665176	0.225667613598211	IFIH1
PL-PMA4	PL-PMA	-0.588601415287519	-0.150547876333915	0.35584591773168	0.564109820384968	0.564109820384968	IFIH1
PL-72h4	PL-72h	-0.681813099681051	-0.329710481043833	0.146427418623576	0.168043420976977	0.225667613598211	IFIH1
PL-SEB5	PL-SEB	-0.407825914823018	0.0289592246619359	0.454958425818509	0.90083445602269	0.90083445602269	IL10
PL-PMA5	PL-PMA	-0.214006354462143	0.252419085381023	0.625114181452395	0.28296880965397	0.468735929585777	IL10
PL-72h5	PL-72h	0.0312887109447109	0.478694964935835	0.766291298070894	0.0381331876943309	0.228799126165986	IL10
PL-SEB6	PL-SEB	-0.608854432284383	-0.181251632664995	0.327964641842768	0.486305493337651	0.486305493337651	IL17A
PL-PMA6	PL-PMA	-0.62929188269336	-0.2131037119131	0.298071698851609	0.411521252929253	0.486305493337651	IL17A
PL-72h6	PL-72h	NA	-1	NA	NA	NA	IL17A
PL-SEB7	PL-SEB	-0.91014551449952	-0.499312271192233	0.406651240927968	0.253928845993757	0.616254794307971	IL17F
PL-PMA7	PL-PMA	-0.990343733955585	-0.607067216313187	0.849874343564021	0.392932783686813	0.616254794307971	IL17F
PL-72h7	PL-72h	NA	1	NA	NA	NA	IL17F
PL-SEB8	PL-SEB	-0.919030038619231	-0.422854294399499	0.591794329370436	0.40352294893363	0.584436668691909	IL22
PL-PMA8	PL-PMA	-0.737100381667568	0.415138398930394	0.949601311522171	0.487030557243258	0.584436668691909	IL22
PL-72h8	PL-72h	-0.48145052716485	0.696789547094468	0.977892576907774	0.191046001127007	0.573138003381021	IL22
PL-SEB9	PL-SEB	-0.016369371651776	0.35889936791804	0.645540334653382	0.0607145413567554	0.182143624070266	PYCARD
PL-PMA9	PL-PMA	-0.14984520723167	0.313461058031644	0.663891444602293	0.178370501325613	0.356741002651227	PYCARD
PL-72h9	PL-72h	-0.191388099365452	0.195659396201283	0.530045145848028	0.31836834446548	0.382042013358576	PYCARD
