SAMPLE	AIM2	CTLA4	EOMES	FOXP3	IFIH1	IL10	IL17A	IL17F	IL22	IL4	INFG	OAS2	PYCARD	TIGIT2
1	C1_72h	25.9349994659424	27.9120006561279	23.9610004425049	27.3819999694824	26.2469997406006	29.7660007476807	36.2599983215332	35.8639984130859	NA	NA	30.3290004730225	24.1630001068115	24.3360004425049	25.5160007476807
2	C1_72h.1	25.8969993591309	27.8090000152588	24.0219993591309	27.6490001678467	NA	29.6870002746582	NA	37.3079986572266	NA	NA	30.8840007781982	23.9810009002686	24.4050006866455	25.7689990997314
3	C1_72h.2	26.2019996643066	28.2049999237061	24.0370006561279	27.4810009002686	25.5709991455078	29.6959991455078	NA	NA	NA	NA	30.4220008850098	24.0450000762939	24.3449993133545	25.886999130249
4	C1_PMA	21.5769996643066	22.4909992218018	22.5830001831055	26.4689998626709	NA	25.3999996185303	21.2509994506836	27.1889991760254	NA	25.2630004882812	16.1509990692139	23.0209999084473	NA	24.1639995574951
5	C1_PMA.1	21.7709999084473	22.4869995117188	22.2490005493164	26.5470008850098	24.7810001373291	25.2840003967285	20.931999206543	26.5219993591309	28.4659996032715	25.0559997558594	NA	23.326000213623	29.1959991455078	24.3250007629395
6	C1_PMA.2	21.632999420166	22.4860000610352	NA	26.2549991607666	26.193000793457	25.5370006561279	20.9360008239746	26.5930004119873	28.5930004119873	25.5690002441406	15.5319995880127	23.2059993743896	28.9699993133545	24.5349998474121
7	C1_SEB	21.6410007476807	19.4529991149902	20.5550003051758	21.4009990692139	22.5289993286133	22.4740009307861	20.4689998626709	NA	NA	25.9890003204346	15.8059997558594	20.753999710083	23.1100006103516	22.9689998626709
8	C1_SEB.1	21.4580001831055	19.4209995269775	20.5820007324219	21.6340007781982	21.9899997711182	22.4740009307861	20.5440006256104	20.0799999237061	25.503999710083	25.8729991912842	NA	20.2590007781982	23.4729995727539	22.5559997558594
9	C1_SEB.2	21.5919990539551	19.4720001220703	20.5960006713867	21.5599994659424	22.048999786377	22.4610004425049	20.4769992828369	20.0270004272461	25.0739994049072	25.8719997406006	15.4390001296997	20.2959995269775	23.3880004882812	22.5960006713867
10	C10_72h	24.9489994049072	27.0069999694824	23.3959999084473	25.7590007781982	23.8430004119873	25.6159992218018	38.0800018310547	NA	34.0340003967285	NA	32.4900016784668	22.2940006256104	22.4109992980957	25.4540004730225
11	C10_72h.1	24.9340000152588	27.1979999542236	23.3899993896484	25.8229999542236	24.1770000457764	25.55299949646	NA	39.265998840332	39.5050010681152	38.2029991149902	31.9559993743896	22.2329998016357	22.4349994659424	25.3999996185303
12	C10_72h.2	24.9190006256104	27.0279998779297	23.3419990539551	25.7450008392334	23.9939994812012	25.5300006866455	35.7159996032715	37.6889991760254	NA	NA	NA	22.3110008239746	22.4599990844727	25.2689990997314
13	C10_PMA	25.3619995117188	26.4519996643066	26.1749992370605	28.1860008239746	28.9650001525879	29.8530006408691	23.3649997711182	28.9769992828369	28.4409999847412	28.9909992218018	20.7080001831055	26.6219997406006	32.0660018920898	28.0909996032715
14	C10_PMA.1	25.4750003814697	26.2700004577637	26.5429992675781	27.9349994659424	28.5830001831055	29.8390007019043	23.2840003967285	28.8500003814697	28.2409992218018	28.8719997406006	20.3799991607666	26.6480007171631	NA	28.0349998474121
15	C10_PMA.2	25.6270008087158	26.6340007781982	26.6790008544922	28.2639999389648	NA	29.7689990997314	23.2280006408691	NA	27.9160003662109	28.6509990692139	20.2859992980957	26.8729991912842	31.4419994354248	28.2059993743896
16	C10_SEB	23.2900009155273	20.69700050354	22.0359992980957	21.5069999694824	22.2029991149902	24.5960006713867	20.7630004882812	20.4379997253418	23.7110004425049	26.8530006408691	16.9780006408691	20.7479991912842	23.7280006408691	22.9150009155273
17	C10_SEB.1	23.4449996948242	20.7029991149902	22.0709991455078	21.4759998321533	22.2369995117188	24.5869998931885	20.8519992828369	20.7679996490479	23.9790000915527	26.8640003204346	17.193000793457	20.7220001220703	23.75	22.8390007019043
18	C10_SEB.2	23.2469997406006	20.6550006866455	22.0949993133545	21.5499992370605	22.1520004272461	24.6030006408691	20.9699993133545	20.7390003204346	23.5380001068115	27.011999130249	17.0410003662109	20.6639995574951	23.7700004577637	22.9139995574951
