SAMPLE	AIM2	CTLA4	EOMES	FOXP3	IFIH1	IL10	IL17A	IL17F	IL22	IL4	INFG	OAS2	PYCARD	TIGIT2
1	P018_72h	26.9820003509521	28.9069995880127	25.0440006256104	28.4640007019043	25.2310009002686	28.1089992523193	NA	36.6059989929199	NA	NA	30.1410007476807	25.2889995574951	24.3850002288818	26.7310009002686
2	P018_72h.1	27.0510005950928	28.7369995117188	25.0580005645752	28.3740005493164	25.306999206543	28.4340000152588	39.3240013122559	NA	NA	NA	30.2870006561279	25.1539993286133	24.5160007476807	26.632999420166
3	P018_72h.2	27.1679992675781	28.9150009155273	25.0109996795654	28.3740005493164	25.1940002441406	28.2089996337891	33.1269989013672	34.5779991149902	NA	37.3300018310547	30.496000289917	25.2390003204346	24.488000869751	26.6459999084473
4	P018_PMA	25.4160003662109	25.9479999542236	27.1499996185303	29.548999786377	26.2800006866455	29.7859992980957	27.6270008087158	27.4160003662109	31.0590000152588	30.0049991607666	18.9090003967285	25.6979999542236	30.1159992218018	26.1749992370605
5	P018_PMA.1	25.4580001831055	26.076000213623	27.1299991607666	29.5389995574951	26.4169998168945	30.121000289917	27.7490005493164	27.5729999542236	30.507999420166	30.2390003204346	18.5739994049072	25.7689990997314	30.1499996185303	26.1359996795654
6	P018_PMA.2	25.3819999694824	25.9130001068115	26.9580001831055	29.5839996337891	26.1280002593994	29.5109996795654	27.9489994049072	27.3020000457764	30.42799949646	29.5	18.4360008239746	26.0669994354248	29.6049995422363	26.298999786377
7	P018_SEB	24.4619998931885	21.9899997711182	23.67799949646	24.2810001373291	23.7940006256104	23.5069999694824	23.3349990844727	21.1800003051758	28.1800003051758	27.2250003814697	18.7999992370605	22.6900005340576	25.5960006713867	24.7590007781982
8	P018_SEB.1	24.5209999084473	21.9899997711182	23.6749992370605	24.2059993743896	23.7469997406006	23.4610004425049	23.5049991607666	21.128999710083	28.3819999694824	27.1180000305176	18.7210006713867	22.6259994506836	25.4589996337891	24.673999786377
9	P018_SEB.2	24.492000579834	21.9909992218018	23.5200004577637	24.2399997711182	23.617000579834	23.5130004882812	23.4309997558594	21.1350002288818	28.2800006866455	27.0480003356934	18.5970001220703	22.6459999084473	25.742000579834	24.8279991149902
10	P019_72h	27.1770000457764	32.060001373291	27.9150009155273	32.181999206543	26.1049995422363	35.1590003967285	NA	NA	NA	NA	NA	27.3059997558594	27.0939998626709	27.7430000305176
11	P019_72h.1	27.1200008392334	32.4860000610352	27.931999206543	32.4900016784668	26.1030006408691	NA	NA	37.1080017089844	NA	NA	31.5639991760254	NA	27.2560005187988	28.0370006561279
12	P019_72h.2	27.32200050354	NA	27.8740005493164	31.8339996337891	26.318000793457	34.4220008850098	36.7620010375977	NA	NA	NA	31.363000869751	27.7639999389648	27.1119995117188	27.57200050354
13	P019_PMA	22.92799949646	24.5499992370605	25.0429992675781	NA	25.3689994812012	28.2479991912842	24.2880001068115	25.3540000915527	27.6879997253418	23.9939994812012	16.9080009460449	26.5779991149902	NA	25.2719993591309
