SAMPLE	AIM2
1	PH001	17.31467
2	PH002	17.52733
3	PH003	16.97533
4	PH004	17.516
5	PH005	17.31867
6	PH006	16.56133
7	PH007	16.923
8	PH008	18.05533
9	PH010	16.34467
10	PH011	15.88467
11	PH012	20.99567
12	PH013	18.77233
13	PH014	17.2405
14	PH015	NA
15	PH016	17.35433
16	PH017	17.669
17	PH018	18.69133
18	PH019	17.64567
19	PH020	18.35133
20	PH021	17.13533
21	PH022	16.87
22	PH023	16.66567
23	PH024	16.855
24	PH025	17.65667
25	PH026	18.13867
26	PH027	16.66533
27	PH028	16.86533
28	PH029	16.72567
29	PH030	16.6125
30	PH031	17.16
31	PH032	16.89633
32	PH033	18.2255
33	PH034	18.168
34	PH035	17.77133
35	PT001	19.143
36	PT002	17.92867
37	PT003	17.90433
38	PT004	18.02633
39	PT005	17.90167
40	PT006	19.10533
41	PT007	18.873
42	PT008	17.06767
43	PT009	NA
44	PT010	18.23867
45	PT011	18.71033
46	PT012	18.23833
47	PT013	18.79167
48	PT014	NA
49	PT015	18.25133
50	PT016	18.94567
51	PT017	18.81333
52	PT018	NA
53	PT019	18.81333
54	PT020	19.86133
55	PT021	19.31733
56	PT022	18.82267
57	PT023	19.70033
58	PT024	18.886
59	PT025	17.991
60	PT026	NA
61	PT027	17.90933
62	PT028	17.77067
63	PT029	17.99633
64	PT030	18.69233
65	PT031	18.09633
66	PT032	17.80167
67	PT033	18.937
68	PT034	19.53833
69	PT035	18.41167
