SAMPLE	AIM2
1	PH001	0.1604278
2	PH002	0.02928
3	PH003	0.058046
4	PH004	0.08768
5	PH005	0.2245129
6	PH006	0.177579
7	PH007	0.048498
8	PH008	0.1355888
9	PH010	0.039374
10	PH011	0.028536
11	PH012	0.038004
12	PH013	0.061403
13	PH014	0.002122
14	PH015	NA
15	PH016	0.019218
16	PH017	0.038158
17	PH018	0.067826
18	PH019	0.1085417
19	PH020	0.029263
20	PH021	0.018877
21	PH022	0.007
22	PH023	0.064501
23	PH024	0.036592
24	PH025	0.084109
25	PH026	0.007371
26	PH027	0.016743
27	PH028	0.016197
28	PH029	0.057448
29	PH030	0.010608
30	PH031	0.022271
31	PH032	0.018929
32	PH033	0.003536
33	PH034	0.026058
34	PH035	0.2327542
35	PT001	0.012124
36	PT002	0.009292
37	PT003	0.045796
38	PT004	0.089456
39	PT005	0.021549
40	PT006	0.02318
41	PT007	0.058412
42	PT008	0.027301
43	PT009	NA
44	PT010	0.001528
45	PT011	0.033501
46	PT012	0.052482
47	PT013	0.1545326
48	PT014	NA
49	PT015	0.011719
50	PT016	0.036295
51	PT017	0.020033
52	PT018	NA
53	PT019	0.030105
54	PT020	0.030006
55	PT021	0.1540795
56	PT022	0.075116
57	PT023	0.013317
58	PT024	0.1275734
59	PT025	0.008185
60	PT026	NA
61	PT027	0.04179
62	PT028	0.032037
63	PT029	0.02967
64	PT030	0.057274
65	PT031	0.004726
66	PT032	0.1246041
67	PT033	0.019157
68	PT034	0.056712
69	PT035	0.016442
