SAMPLE	AIM2	CASP1	CCL2	CCL20	CCL27	CCL5	CTLA4	CXCL1	CXCL10	CXCL2	DEFB1	EOMES	FOXP3	IFIH1	IFNAR1	IFNG	IFNGR	IL10	IL17A	IL17F	IL1b	IL1F6	IL1RN	IL20RA	IL22	IL22RA1	IL22RA2	IL26	IL8b	KLRK1	LCN2	MICB	NLRP1	NLRP3	PI3	PYCARD	REG3A	S100A8	S100A9	TNF	TRGC1	WIPI1
1	C001	30.7439994812012	25.9740009307861	26.5160007476807	30.5799999237061	25.3150005340576	28.3250007629395	32.0410003662109	29.1940002441406	30.7339992523193	29.6790008544922	25.9740009307861	32.9459991455078	31.4370002746582	28.84034	26.1639995574951	30.7339992523193	24.536242	NA	NA	32.38743	31.5620002746582	28.6499996185303	24.7679996490479	26.6480007171631	33.15204	25.094486	30.017536	NA	30.9610004425049	28.6520004272461	26.498482	30.3810005187988	24.7290000915527	NA	27.1529998779297	26.3810005187988	35.9169998168945	26.4379997253418	26.8199996948242	28.4150009155273	31.7350006103516	26.7099990844727
2	C001.1	NA	25.9669990539551	26.7339992523193	30.9529991149902	25.1459999084473	28.9570007324219	NA	NA	29.9589996337891	29.6040000915527	25.8330001831055	NA	31.0030002593994	28.972271	26.0300006866455	29.9589996337891	24.168318	NA	NA	34.84725	31.0109996795654	28.6049995422363	24.4829998016357	26.4979991912842	NA	24.745333	30.24973	32.166008	30.2900009155273	NA	26.312777	NA	24.7639999389648	29.69981	27.4130001068115	26.2779998779297	36.2709999084473	26.3129997253418	26.5209999084473	28.386999130249	30.9360008239746	26.9419994354248
3	C001.2	30.3610000610352	26.1709995269775	26.5340003967285	NA	25.25	28.2520008087158	31.4680004119873	29.4529991149902	30.1499996185303	29.9290008544922	26.0769996643066	32.8059997558594	31.2290000915527	NA	26.1000003814697	30.1499996185303	24.291574	NA	NA	NA	31.1180000305176	28.1089992523193	24.6040000915527	26.6730003356934	NA	25.34108	NA	33.05548	NA	28.9349994659424	27.040804	30.2129993438721	24.738000869751	29.667896	27.431999206543	26.2590007781982	NA	26.0279998779297	26.3619995117188	28.0960006713867	31.246000289917	26.6439990997314
4	C002	NA	25.3379993438721	26.2569999694824	30.2259998321533	23.5279998779297	27.1809997558594	34.2560005187988	31.2210006713867	30.3759994506836	31.3640003204346	21.7129993438721	32.2470016479492	NA	26.311348	25.6310005187988	30.3759994506836	23.96942	NA	NA	NA	30.9710006713867	29.7339992523193	24.7719993591309	25.6499996185303	NA	27.044962	NA	31.369139	NA	28.6509990692139	25.364555	30.1959991455078	24.5349998474121	28.316992	29.253999710083	23.6580009460449	NA	24.2390003204346	26.9419994354248	30.1919994354248	28.7929992675781	25.3120002746582
5	C002.1	31.4930000305176	25.4710006713867	26.5410003662109	30.5340003967285	23.6070003509521	27.2000007629395	NA	32.0519981384277	30.8460006713867	31.9459991455078	21.6389999389648	32.8219985961914	32.673999786377	26.310001	25.5540008544922	30.8460006713867	23.97561	NA	NA	NA	31.1399993896484	29.5559997558594	24.7830009460449	25.5979995727539	NA	26.96788	30.567696	30.823467	37.2709999084473	28.7450008392334	25.293211	29.3549995422363	24.4729995727539	NA	29.0939998626709	23.6119995117188	38.1160011291504	24.2569999694824	26.9459991455078	30.121000289917	29.1749992370605	25.0590000152588
6	C002.2	31.8299999237061	25.4200000762939	26.0410003662109	29.8799991607666	23.0830001831055	27.0839996337891	34.7980003356934	NA	30.9850006103516	31.4440002441406	21.7070007324219	NA	32.0180015563965	26.237394	25.5349998474121	30.9850006103516	23.977777	NA	14.361284	NA	31.4069995880127	29.5729999542236	24.7970008850098	25.7119998931885	NA	26.696903	30.276918	NA	37.8460006713867	NA	24.874266	29.9290008544922	24.6100006103516	29.586657	29.1900005340576	23.6079998016357	36.7859992980957	24.1909999847412	26.8279991149902	30.3169994354248	28.9039993286133	25.1800003051758
7	C003	31.7770004272461	26.0779991149902	25.8759994506836	30.4769992828369	22.4300003051758	26.7779998779297	32.4930000305176	31.6650009155273	30.1229991912842	NA	21.6550006866455	32.2509994506836	31.1310005187988	NA	26.0249996185303	30.1229991912842	24.328884	NA	NA	NA	26.7390003204346	29.6599998474121	24.9580001831055	25.1870002746582	NA	26.931057	NA	NA	33.257999420166	27.82200050354	21.46683	30.2399997711182	24.548999786377	29.42908	26.8040008544922	24.3229999542236	34.8629989624023	21.6720008850098	23.1900005340576	29.3759994506836	NA	25.5300006866455
8	C003.1	31.4820003509521	25.9729995727539	25.8659992218018	NA	22.3500003814697	27.1879997253418	NA	31.5219993591309	30.17799949646	31.8439998626709	21.5820007324219	31.8560009002686	31.0860004425049	25.986576	26.0109996795654	30.17799949646	24.354355	NA	NA	NA	26.5970001220703	29.8850002288818	24.6079998016357	25.17799949646	NA	27.040386	28.454773	31.232264	NA	27.7600002288818	21.863297	29.5750007629395	24.6989994049072	NA	26.5580005645752	24.431999206543	31.4500007629395	21.3509998321533	23.0659999847412	29.5060005187988	29.6319999694824	25.8390007019043
9	C003.2	31.4479999542236	25.9589996337891	25.6760005950928	30.1979999542236	22.0090007781982	26.7590007781982	32.7820014953613	31.5470008850098	30.2800006866455	31.257999420166	21.5979995727539	NA	NA	26.028791	26.1870002746582	30.2800006866455	24.27385	34.6539993286133	NA	NA	26.6529998779297	30.3579998016357	24.7159996032715	25.2549991607666	NA	NA	29.164085	NA	33.2560005187988	27.8519992828369	21.630531	30.2059993743896	24.5109996795654	29.534988	26.1770000457764	24.3939990997314	NA	21.3379993438721	23.0429992675781	29.8229999542236	29.5629997253418	25.298999786377
10	C004	30.132999420166	22.3279991149902	24.5160007476807	28.2919998168945	20.4659996032715	25.8250007629395	32.4580001831055	31.5109996795654	28.613000869751	NA	19.8199996948242	30.6100006103516	NA	24.76084	24.6529998779297	28.613000869751	22.688826	NA	NA	32.51052	26.8850002288818	28.1879997253418	24.0709991455078	24.7649993896484	NA	26.17224	28.35905	28.877592	NA	26.382999420166	21.963152	29.9689998626709	24.1509990692139	26.582914	27.7189998626709	22.6140003204346	32.5559997558594	20.5909996032715	NA	28.0849990844727	27.451000213623	23.7210006713867
11	C004.1	30.0440006256104	22.2810001373291	24.3419990539551	28.2830009460449	20.3479995727539	25.8059997558594	NA	30.9799995422363	NA	30.9850006103516	19.7719993591309	31.2099990844727	31.371000289917	24.574581	24.6539993286133	NA	22.656458	NA	NA	NA	27.113000869751	28.5349998474121	24.1259994506836	24.8540000915527	NA	26.51205	NA	29.476124	31.9939994812012	26.2950000762939	21.81953	30.3309993743896	24.0650005340576	NA	27.1509990692139	22.5690002441406	32.8190002441406	20.55299949646	23.2110004425049	28.3339996337891	27.3840007781982	23.7129993438721
12	C004.2	30.3390007019043	22.193000793457	24.4139995574951	27.5580005645752	20.1790008544922	25.9190006256104	32.640998840332	31.8309993743896	28.1529998779297	30.5240001678467	19.8169994354248	30.9570007324219	31.3980007171631	24.64711	24.7479991912842	28.1529998779297	22.681803	NA	NA	NA	27.0629997253418	28.4699993133545	24.1389999389648	24.7299995422363	NA	26.31144	28.506384	NA	32.3019981384277	26.2439994812012	21.905653	29.9740009307861	23.9780006408691	25.784664	27.617000579834	22.6049995422363	33.0719985961914	20.5149993896484	23.5459995269775	28.6840000152588	28.0830001831055	23.5179996490479
13	C005	29.0429992675781	23.0949993133545	25.3139991760254	28.386999130249	21.117000579834	26.3250007629395	31.8159999847412	NA	28.7299995422363	NA	20.4950008392334	NA	30.6590003967285	24.931292	25.3299999237061	28.7299995422363	23.421	NA	NA	NA	NA	26.7549991607666	23.8269996643066	25.6499996185303	NA	25.917633	29.886251	NA	33.4440002441406	26.4330005645752	22.032804	29.0830001831055	23.82200050354	NA	22.6180000305176	21.9549999237061	NA	18.1299991607666	19.9689998626709	28.6359996795654	28.4650001525879	23.4570007324219
14	C005.1	29.2390003204346	23.1089992523193	25.3549995422363	28.2019996643066	21.1100006103516	26.5729999542236	32.1030006408691	30.4370002746582	28.3889999389648	29.6030006408691	20.503999710083	33.939998626709	30.3570003509521	24.54759	25.1280002593994	28.3889999389648	23.375217	NA	NA	NA	31.1630001068115	26.7549991607666	23.8339996337891	25.7000007629395	NA	26.378046	29.342873	34.397057	33.0439987182617	26.6100006103516	22.046463	29.1319999694824	23.9190006256104	28.499506	22.5869998931885	21.8859996795654	34.1020011901855	18.0459995269775	19.9400005340576	28.57200050354	28.6669998168945	23.4829998016357
15	C005.2	NA	NA	25.5739994049072	28.6889991760254	21.0389995574951	26.3150005340576	31.5970001220703	30.5109996795654	28.3250007629395	30.3500003814697	20.5330009460449	32.798999786377	30.7689990997314	24.495653	25.363000869751	28.3250007629395	23.564041	NA	NA	NA	30.8110008239746	26.7980003356934	23.82200050354	25.8050003051758	NA	26.171028	29.768782	33.748554	NA	26.2970008850098	22.51633	29.0690002441406	23.7530002593994	27.826101	22.8799991607666	21.9249992370605	34.326000213623	18.7560005187988	20.1450004577637	28.2840003967285	28.681999206543	23.3680000305176
16	C006	30.1650009155273	24.6119995117188	26.6509990692139	29.7129993438721	23.193000793457	28.375	33.4500007629395	NA	30.9479999542236	29.8980007171631	22.2999992370605	NA	NA	26.602535	26.9939994812012	30.9479999542236	24.954489	NA	NA	NA	31.2129993438721	30.2110004425049	25.1700000762939	26.6650009155273	NA	27.7979	29.807964	36.87767	NA	28.253999710083	NA	31.3759994506836	24.5440006256104	31.315483	28.4559993743896	24.0450000762939	NA	23.6469993591309	26.8509998321533	30.4120006561279	28.9979991912842	25.2919998168945
17	C006.1	29.9990005493164	24.5009994506836	26.8689994812012	NA	23.1940002441406	28.3110008239746	32.8279991149902	31.2029991149902	31.1420001983643	30.6420001983643	22.3250007629395	34.4080009460449	32.1339988708496	26.601511	26.9409999847412	31.1420001983643	24.882734	NA	NA	34.225403	30.9629993438721	30.3509998321533	25.2269992828369	26.6350002288818	NA	28.15785	30.464458	NA	33.2970008850098	28.1870002746582	25.511848	31.8540000915527	24.5949993133545	NA	NA	24.1439990997314	34.9550018310547	23.6560001373291	26.996000289917	30.5750007629395	29.1439990997314	25.4020004272461
18	C006.2	30.5030002593994	24.5499992370605	26.9349994659424	30.4759998321533	23.1690006256104	28.6749992370605	32.8540000915527	31.0930004119873	NA	NA	22.4249992370605	32.1040000915527	32.234001159668	26.950788	26.9570007324219	NA	24.821669	NA	NA	NA	30.9160003662109	29.9570007324219	25.1159992218018	27.2749996185303	NA	27.772526	NA	39.308712	38.060001373291	28.617000579834	25.984985	31.5009994506836	24.6380004882812	30.662025	28.4360008239746	24.0620002746582	37.2150001525879	23.5919990539551	27.0690002441406	29.9629993438721	NA	25.4009990692139
19	C007	30.5550003051758	24.9829998016357	25.9360008239746	29.8400001525879	23.0790004730225	26.8449993133545	33.4189987182617	31.2409992218018	30.1889991760254	NA	21.5949993133545	31.7639999389648	31.55299949646	25.611065	26.5149993896484	30.1889991760254	24.070807	NA	NA	28.227793	28.7870006561279	29.9909992218018	24.6700000762939	NA	NA	26.831783	28.950788	32.091026	32.3160018920898	28.6030006408691	22.888332	30.4990005493164	24.7280006408691	NA	26.8519992828369	23.806999206543	NA	21.5440006256104	24.1560001373291	30.0400009155273	NA	25.3719997406006
20	C007.1	30.5240001678467	24.9029998779297	25.55299949646	29.4589996337891	23.1410007476807	27.318000793457	33.7649993896484	NA	NA	30.1660003662109	21.6840000152588	NA	31.2660007476807	26.113619	26.5909996032715	NA	24.216732	35.1500015258789	NA	NA	28.9640007019043	29.9379997253418	24.6240005493164	31.0709991455078	NA	26.75261	NA	NA	NA	NA	23.341152	NA	24.4790000915527	31.098766	27.4990005493164	23.7740001678467	31.1870002746582	21.5830001831055	24.2180004119873	29.701000213623	29.2229995727539	24.9160003662109
21	C007.2	30.326000213623	25.0499992370605	25.9780006408691	29.1690006256104	23.4270000457764	27.298999786377	NA	31.4740009307861	29.6840000152588	30.6919994354248	21.6219997406006	33.6370010375977	31.0799999237061	25.837856	26.6149997711182	29.6840000152588	23.970306	NA	NA	NA	29.181999206543	29.6159992218018	24.5779991149902	31.443000793457	NA	27.15299	27.214746	35.191727	33.3139991760254	28.8279991149902	23.509642	29.9839992523193	24.4090003967285	31.035822	27.1410007476807	23.8090000152588	32.6290016174316	21.5639991760254	24.3150005340576	29.6350002288818	29.3150005340576	25.1830005645752
22	C008	30.7119998931885	25.2119998931885	26.5090007781982	32.398998260498	24.1060009002686	26.4150009155273	32.2669982910156	33.4959983825684	31.8540000915527	31.1380004882812	25.6070003509521	NA	31.3959999084473	27.326918	25.2849998474121	31.8540000915527	23.681717	NA	NA	NA	31.3390007019043	29.2369995117188	24.2240009307861	26.2210006713867	32.46459	24.895693	30.287712	34.71545	33.3569984436035	28.6340007781982	25.509054	29.1730003356934	24.0590000152588	28.220957	28.1660003662109	26.3139991760254	30.1149997711182	28.3040008544922	29.07200050354	28.2590007781982	29.42799949646	26.0149993896484
23	C008.1	30.0790004730225	25.2549991607666	26.5410003662109	NA	23.8740005493164	26.8269996643066	31.9270000457764	NA	31.8770008087158	NA	25.8110008239746	30.3040008544922	30.6410007476807	27.118778	25.1410007476807	31.8770008087158	23.817606	NA	NA	NA	30.8819999694824	29.628999710083	24.2789993286133	25.9869995117188	NA	24.709059	NA	35.902134	33.4640007019043	28.4710006713867	25.617947	29.3349990844727	24.0949993133545	31.847218	28.1180000305176	26.3770008087158	NA	28.382999420166	29.5890007019043	28.0410003662109	30.076000213623	26.0189990997314
