SAMPLE	AIM2	CASP1	CCL2	CCL20	CCL27	CCL5	CTLA4	CXCL1	CXCL10	CXCL2	DEFB1	EOMES	FOXP3	IFIH1	IFNAR1	IFNG	IFNGR	IL10	IL17A	IL17F	IL1b	IL1F6	IL1RN	IL20RA	IL22	IL22RA1	IL22RA2	IL26	IL8b	KLRK1	LCN2	MICB	NLRP1	NLRP3	PI3	PYCARD	REG3A	S100A8	S100A9	TNF	TRGC1	WIPI1
1	PH001	28.1749992370605	24.7360000610352	24.4580001831055	25.2390003204346	25.8269996643066	27.4869995117188	29.7530002593994	25.4409999847412	26.863000869751	27.3059997558594	25.6019992828369	31.7670001983643	29.0170001983643	27.549616	26.117000579834	26.863000869751	NA	31.6790008544922	26.093067	NA	26.5060005187988	22.0540008544922	21.1110000610352	26.1730003356934	NA	23.473038	31.322456	NA	25.8330001831055	29.2810001373291	NA	27.4780006408691	24.2810001373291	29.542147	16.6140003204346	22.826000213623	37.6430015563965	17.4589996337891	17.128999710083	27.7070007324219	NA	25.6639995574951
2	PH001.1	NA	24.8139991760254	24.4610004425049	24.9029998779297	25.8740005493164	27.6539993286133	29.7919998168945	25.1240005493164	26.8320007324219	27.5470008850098	25.6979999542236	32.8359985351562	28.9890003204346	27.363024	26.2049999237061	26.8320007324219	22.65115	NA	25.884726	30.806555	26.6849994659424	21.9979991912842	21.1019992828369	26.0979995727539	29.005964	23.271656	29.172655	30.700907	25.9340000152588	29.8570003509521	18.78605	28.0849990844727	24.1450004577637	NA	16.5839996337891	22.8139991760254	NA	17.3479995727539	17.1110000610352	27.8020000457764	32.5670013427734	25.6749992370605
3	PH001.2	27.3490009307861	24.8439998626709	24.3799991607666	24.9419994354248	25.8920001983643	27.4449996948242	29.3999996185303	25.3349990844727	26.9179992675781	27.7759990692139	26.0340003967285	NA	29.3360004425049	27.267874	26.1700000762939	26.9179992675781	22.574793	31.6949996948242	NA	30.336336	26.4400005340576	22.0860004425049	21.0750007629395	25.8430004119873	29.092054	22.987785	NA	29.049112	25.6940002441406	29.3099994659424	18.915283	27.882999420166	24.5230007171631	28.437103	16.6580009460449	22.7759990692139	29.0709991455078	17.3460006713867	17.0830001831055	NA	32.7080001831055	25.7390003204346
4	PH002	28.7819995880127	24.1000003814697	25.0189990997314	27.0550003051758	25.0849990844727	26.8649997711182	30.6259994506836	28.701000213623	26.8810005187988	29.4139995574951	25.2320003509521	31.5179996490479	28.9839992523193	25.938005	25.6040000915527	26.8810005187988	23.024548	33.6220016479492	27.023762	NA	28.7439994812012	22.6079998016357	21.878999710083	25.7019996643066	28.89055	22.046535	27.508066	28.611637	29.2000007629395	29.2180004119873	19.515648	27.4850006103516	24.2649993896484	NA	15.9969997406006	22.1259994506836	NA	16.9720001220703	17.0779991149902	28.4890003204346	31.9570007324219	25.4479999542236
5	PH002.1	NA	24.1800003051758	24.9120006561279	26.7479991912842	25.1159992218018	27.1800003051758	31.2049999237061	27.9930000305176	26.7919998168945	29.1669998168945	25.2290000915527	30.8110008239746	29.6840000152588	25.403856	25.6949996948242	26.7919998168945	23.459324	34.1549987792969	NA	30.797956	28.8689994812012	22.6439990997314	21.6630001068115	26.3560009002686	NA	22.320787	NA	NA	29.4850006103516	29.6459999084473	19.03342	27.3379993438721	24.4459991455078	NA	16.1940002441406	22.2310009002686	34.6539993286133	17.0769996643066	17.1520004272461	27.7129993438721	32.6129989624023	25.3819999694824
6	PH002.2	29.1149997711182	24.2590007781982	25.2859992980957	26.8819999694824	25.242000579834	26.753999710083	30.7199993133545	28.2269992828369	26.8360004425049	29.42799949646	25.1630001068115	31.3190002441406	29.1259994506836	25.966938	25.6520004272461	26.8360004425049	NA	34.4490013122559	27.341566	31.367767	28.5949993133545	22.6280002593994	21.7630004882812	25.6079998016357	28.795872	22.437168	27.0933	29.829638	NA	NA	18.965065	27.6030006408691	23.6650009155273	30.390327	16.1319999694824	22.2649993896484	36.8650016784668	16.9029998779297	17.2329998016357	27.8020000457764	NA	25.5349998474121
7	PH003	28.9379997253418	23.8999996185303	22.8040008544922	NA	25.7859992980957	27.0419998168945	29.6989994049072	24.5919990539551	24.8530006408691	26.4190006256104	25.011999130249	31.2819995880127	29.2339992523193	25.020683	25.5779991149902	24.8530006408691	22.32759	31.8110008239746	25.834074	29.889172	NA	21.4650001525879	21.5429992675781	26.7250003814697	NA	23.56514	27.466621	28.320309	25.1189994812012	NA	16.945087	27.3479995727539	24.2280006408691	NA	15.7980003356934	22.6700000762939	NA	16.7040004730225	16.9839992523193	27.3999996185303	NA	25.4950008392334
8	PH003.1	29.1310005187988	23.7259998321533	22.8290004730225	23.7569999694824	25.7849998474121	27.3540000915527	29.6389999389648	24.6189994812012	25.5830001831055	26.1189994812012	25.1520004272461	NA	29.4060001373291	25.391712	25.4939994812012	25.5830001831055	22.498781	NA	26.183434	29.448288	25.1119995117188	21.4589996337891	21.5860004425049	26.9270000457764	27.780308	23.306992	27.59806	28.093807	NA	29.0440006256104	NA	26.9969997406006	24.4549999237061	27.584522	15.8129997253418	22.6159992218018	35.1240005493164	16.681999206543	16.7609996795654	27.0179996490479	31.2199993133545	25.4540004730225
9	PH003.2	29.1180000305176	23.6800003051758	23.056999206543	23.7700004577637	25.8889999389648	27.1319999694824	29.9270000457764	24.4260005950928	24.9619998931885	25.9330005645752	25.173999786377	31.4080009460449	29.2490005493164	24.93243	25.5559997558594	24.9619998931885	22.498255	31.9669990539551	26.067059	29.820885	24.9529991149902	21.5779991149902	21.6040000915527	26.6669998168945	25.216284	23.29449	27.475218	NA	24.931999206543	29.1060009002686	17.21615	27.3299999237061	24.2339992523193	28.117373	15.8669996261597	22.7320003509521	35.2330017089844	16.69700050354	17.0060005187988	27.0470008850098	30.8880004882812	25.3110008239746
10	PH004	29.7779998779297	24.8199996948242	24.2409992218018	26.8099994659424	26.2689990997314	27.0900001525879	29.003999710083	27.1620006561279	27.3649997711182	NA	25.4230003356934	30.2339992523193	28.4260005950928	26.262688	26.8840007781982	27.3649997711182	23.983728	NA	26.384644	29.63583	26.4659996032715	22.5779991149902	22.6350002288818	27.3560009002686	27.829481	NA	NA	29.602007	27.2369995117188	29.8959999084473	19.30713	27.9559993743896	24.7520008087158	27.679977	17.3090000152588	23.246000289917	NA	17.4099998474121	18.1720008850098	27.4300003051758	31.8290004730225	26.0869998931885
