Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
IL1F6	4.01190078242528	16.5357554992499	12.9128447865122	1.91828722508951e-18	8.05680634537593e-17	31.6059855343386
S100A9	7.4273832237901	14.1937128602955	12.0535806747499	3.33892065567231e-17	7.01173337691185e-16	28.7459398653933
S100A8	6.85951406409925	13.7365418188043	11.8381296313811	1.61913556907055e-16	2.26678979669877e-15	27.2210619965592
PI3	7.81552977257086	9.55709327590753	11.8195249903364	5.70918642386004e-16	5.99464574505304e-15	26.0391045068895
IL17A	14.094545249402	-1.98009327911162	11.9567132347414	2.30304076741523e-13	1.93455424462879e-12	20.4580783891232
FOXP3	1.88023205374542	12.3668751465301	9.32576502263439	1.29354620256258e-12	9.05482341793806e-12	18.2683925506128
IL17F	6.46654331283667	2.83714208916572	12.0397673075136	3.6898540574652e-12	2.21391243447912e-11	17.8827358526611
CXCL1	3.98865553559689	-0.072356035290106	8.86280308636097	1.33129538993323e-11	6.2127118196884e-11	16.0349189128457
LCN2	5.63658753975133	2.15064268181925	11.0422271850698	1.08239581864173e-10	4.54606243829528e-10	14.6275418525477
IL22	7.99906010486525	2.76693686208261	9.77059638461371	4.90531096718565e-10	1.87293691474361e-09	13.0855889010093
IFNGR	0.76937516170169	7.4187037331561	7.05069988156468	3.3771377193918e-09	1.18199820178713e-08	10.3629730161995
IL8b	6.80408494710728	2.24265549200114	6.3625754197809	2.88644515543379e-07	9.32543819447839e-07	6.51285078726856
CXCL10	2.102625625041	10.8702581567362	5.78600728751977	8.64840183283893e-07	2.4215525131949e-06	5.13935109074872
IFNG	2.102625625041	10.8702581567362	5.78600728751977	8.64840183283893e-07	2.4215525131949e-06	5.13935109074872
CCL2	1.00419803683763	11.6384886356959	5.18892592457011	2.91410797753438e-06	7.64953344102774e-06	3.63676217428559
CTLA4	1.8882650041904	12.0643391418683	4.95091928987658	1.37679130626382e-05	3.21251304794891e-05	2.39910732210436
IL1b	2.78677437340074	5.17880698419074	4.90588546202962	1.77047006169456e-05	3.91367066269324e-05	2.18429373591392
IL1RN	0.977952244894619	13.77191902575	4.76164076307603	1.31864019007603e-05	3.21251304794891e-05	2.14638140879893
CCL20	2.35910085344155	6.07290877994578	4.85648469375172	2.06503185159284e-05	4.33656688834497e-05	2.05546507640376
CXCL2	1.94860938485824	1.68434946169291	4.85764773178222	2.7851953227633e-05	5.57039064552661e-05	1.89381396449508
IL22RA1	0.791474063339162	11.3201884745983	4.55303510522042	3.12240013426923e-05	5.96094571087761e-05	1.37031371771615
AIM2	1.94399188359833	10.5338307831417	4.60600735178896	6.57972732205785e-05	0.000120151542402795	1.16471685174952
IL26	3.39555234706387	8.8060859100643	10.1775947416695	0.000461741744783746	0.000775726131236694	0.217027554322981
PYCARD	1.01273495945729	13.0407092828123	4.12999235140512	0.000131663421888623	0.000230410988305091	-0.0106784689427331
TRGC1	1.30863182310109	12.971535249995	3.6394133573923	0.00084849929258059	0.00137065270339941	-1.54062163395824
IL10	1.10840216449232	7.16391977266665	3.32950354932442	0.00187409835392188	0.0029152641061007	-2.38337648852155
CCL5	0.574380346531765	10.866317752315	2.29283902996144	0.0257708963203413	0.0373233670846323	-4.97677256687339
TNF	0.37002895207039	11.6765076761528	2.23201814380747	0.0296988760542743	0.041578426475984	-5.10981824980609
MICB	0.502303170442172	4.58749176614718	2.16817057751199	0.0352305437718095	0.0477317044650323	-5.16237772480698
